iter	Passed	Remaining
0	3	3823
1	7	3686
2	10	3617
3	12	3229
4	16	3271
5	19	3296
6	23	3404
7	27	3382
8	30	3377
9	34	3379
10	37	3378
11	41	3399
12	44	3412
13	48	3417
14	51	3398
15	55	3382
16	58	3387
17	61	3342
18	64	3311
19	67	3298
20	70	3286
21	73	3274
22	76	3237
23	78	3210
24	81	3161
25	83	3136
26	86	3120
27	89	3112
28	91	3074
29	94	3067
30	98	3069
31	101	3075
32	104	3060
33	105	3005
34	109	3006
35	111	2994
36	114	2982
37	117	2976
38	120	2972
39	123	2961
40	125	2925
41	126	2882
42	129	2872
43	132	2887
44	135	2884
45	138	2866
46	140	2852
47	143	2849
48	147	2856
49	149	2842
50	152	2840
51	155	2841
52	158	2839
53	162	2844
54	165	2846
55	168	2835
56	170	2828
57	174	2826
58	176	2821
59	180	2823
60	183	2823
61	186	2822
62	189	2823
63	192	2822
64	195	2817
65	199	2821
66	201	2809
67	203	2793
68	204	2761
69	207	2760
70	211	2764
71	214	2758
72	216	2754
73	219	2746
74	222	2748
75	224	2729
76	227	2728
77	230	2728
78	234	2729
79	237	2726
80	240	2724
81	243	2722
82	246	2723
83	249	2719
84	252	2719
85	256	2723
86	258	2716
87	263	2728
88	266	2732
89	270	2730
90	273	2731
91	276	2730
92	279	2727
93	282	2725
94	285	2723
95	288	2719
96	289	2697
97	293	2699
98	296	2702
99	300	2703
100	303	2702
101	306	2700
102	308	2684
103	311	2686
104	315	2688
105	318	2689
106	321	2681
107	324	2682
108	328	2685
109	331	2683
110	334	2676
111	337	2675
112	340	2676
113	343	2672
114	346	2667
115	349	2664
116	352	2662
117	355	2658
118	359	2658
119	360	2643
120	363	2643
121	366	2641
122	370	2639
123	373	2638
124	377	2641
125	378	2623
126	381	2623
127	384	2621
128	388	2620
129	390	2616
130	394	2615
131	398	2617
132	401	2616
133	404	2613
134	407	2613
135	410	2609
136	413	2604
137	416	2600
138	419	2601
139	422	2597
140	425	2591
141	427	2585
142	430	2581
143	433	2576
144	436	2572
145	439	2569
146	442	2565
147	445	2563
148	448	2560
149	451	2558
150	454	2556
151	457	2553
152	460	2547
153	462	2543
154	466	2542
155	469	2541
156	472	2537
157	475	2534
158	478	2530
159	481	2527
160	484	2525
161	487	2520
162	490	2518
163	493	2515
164	496	2512
165	498	2506
166	501	2503
167	505	2502
168	508	2498
169	511	2496
170	514	2492
171	517	2491
172	520	2489
173	523	2487
174	527	2485
175	530	2482
176	532	2478
177	535	2475
178	538	2470
179	541	2466
180	544	2464
181	547	2460
182	550	2458
183	553	2455
184	557	2454
185	560	2451
186	563	2448
187	566	2445
188	569	2443
189	572	2440
190	575	2435
191	578	2433
192	581	2431
193	584	2429
194	588	2428
195	591	2425
196	594	2421
197	597	2420
198	600	2417
199	603	2415
200	606	2412
201	609	2409
202	612	2406
203	615	2402
204	618	2399
205	621	2396
206	624	2392
207	627	2387
208	630	2384
209	633	2384
210	637	2382
211	639	2378
212	642	2375
213	646	2373
214	648	2369
215	652	2368
216	655	2365
