iter	Passed	Remaining
0	3	3602
1	7	3580
2	10	3536
3	12	3203
4	16	3242
5	19	3270
6	23	3310
7	26	3297
8	29	3295
9	33	3302
10	36	3307
11	40	3331
12	46	3510
13	52	3720
14	56	3677
15	59	3647
16	62	3636
17	96	5285
18	100	5178
19	104	5118
20	108	5045
21	111	4955
22	112	4772
23	115	4712
24	119	4656
25	121	4538
26	122	4408
27	126	4382
28	129	4332
29	133	4315
30	134	4210
31	139	4206
32	142	4162
33	144	4105
34	147	4076
35	151	4045
36	154	4008
37	154	3920
38	157	3881
39	160	3851
40	163	3825
41	166	3807
42	169	3781
43	172	3739
44	174	3707
45	178	3701
46	181	3679
47	183	3644
48	185	3608
49	188	3588
50	192	3575
51	194	3546
52	197	3528
53	200	3516
54	203	3500
55	207	3489
56	210	3478
57	212	3452
58	215	3433
59	218	3420
60	221	3413
61	225	3407
62	228	3395
63	231	3386
64	233	3353
65	236	3347
66	239	3331
67	242	3324
68	245	3316
69	248	3305
70	250	3280
71	253	3273
72	256	3263
73	259	3244
74	262	3240
75	265	3227
76	267	3205
77	269	3191
78	272	3177
79	275	3165
80	278	3158
81	281	3155
82	284	3147
83	287	3140
84	288	3109
85	291	3099
86	294	3089
87	297	3084
88	301	3082
89	303	3064
90	306	3059
91	309	3053
92	312	3049
93	316	3045
94	319	3039
95	322	3033
96	325	3026
97	326	3009
98	329	3001
99	333	2997
100	336	2996
101	339	2985
102	342	2983
103	345	2979
104	348	2973
105	350	2958
106	353	2952
107	357	2949
108	360	2946
109	363	2944
110	367	2941
111	370	2937
112	373	2932
113	376	2925
114	379	2916
115	381	2908
116	384	2903
117	387	2893
118	388	2875
119	391	2872
120	395	2873
121	398	2870
122	401	2865
123	404	2855
124	406	2848
125	409	2841
126	412	2837
127	415	2828
128	417	2819
129	420	2815
130	423	2811
131	426	2804
132	429	2799
133	432	2793
134	435	2788
135	438	2783
136	441	2779
137	444	2773
138	445	2760
139	448	2754
140	451	2750
141	453	2741
142	456	2735
143	459	2728
144	461	2720
145	464	2716
146	467	2712
147	470	2707
148	473	2702
149	476	2699
150	479	2694
151	482	2689
152	484	2682
153	485	2669
154	487	2657
155	490	2653
156	492	2646
157	495	2643
158	498	2638
159	501	2634
160	505	2632
161	507	2626
162	510	2622
163	513	2616
164	516	2613
165	519	2607
166	521	2603
167	524	2597
168	527	2592
169	529	2587
170	532	2581
171	535	2579
172	538	2576
173	542	2573
174	545	2570
175	548	2567
176	551	2564
177	554	2562
178	558	2559
179	561	2555
180	564	2552
181	567	2550
182	570	2547
183	573	2543
184	576	2538
