iter	RMSE
0	4.9872119
1	4.840919285
2	4.698629642
3	4.560878186
4	4.427257512
5	4.297902493
6	4.172771794
7	4.051952115
8	3.93346619
9	3.818975015
10	3.708663458
11	3.601660255
12	3.49785369
13	3.397208578
14	3.298878169
15	3.203362056
16	3.11078155
17	3.021053186
18	2.933682424
19	2.849310201
20	2.7671855
21	2.687699109
22	2.611549603
23	2.53691641
24	2.46494674
25	2.394613942
26	2.32692115
27	2.261157139
28	2.197374056
29	2.135691836
30	2.076144286
31	2.018404115
32	1.962276855
33	1.907924258
34	1.855857674
35	1.805344117
36	1.75589915
37	1.709012362
38	1.662662957
39	1.618271101
40	1.57516936
41	1.533800697
42	1.493312717
43	1.454277189
44	1.416361629
45	1.379912999
46	1.344392531
47	1.310205546
48	1.277289713
49	1.245256619
50	1.21422587
51	1.184869754
52	1.155767689
53	1.128160774
54	1.101237264
55	1.075522301
56	1.050651051
57	1.026624388
58	1.003304433
59	0.9806050904
60	0.9587390997
61	0.9374815842
62	0.9172295633
63	0.897670918
64	0.8795128836
65	0.8617933177
66	0.8444858469
67	0.8276760997
68	0.811840068
69	0.7962683476
70	0.7817981118
71	0.7674652614
72	0.7539497168
73	0.741033068
74	0.7284545823
75	0.7167143857
76	0.7055140734
77	0.6945820532
78	0.6839137007
79	0.6740557675
80	0.6644094242
81	0.6548135169
82	0.6461243983
83	0.6373618171
84	0.6298951967
85	0.6221778357
86	0.6147561012
87	0.607544639
88	0.6005383777
89	0.5943801493
90	0.5881025379
91	0.5821302822
92	0.5764778097
93	0.5709062209
94	0.5656479929
95	0.560860926
96	0.5560340198
97	0.551789529
98	0.547514791
99	0.5434236815
100	0.5393809783
101	0.5358409313
102	0.5322728804
103	0.5288750519
104	0.5257947919
105	0.5229470853
106	0.5200974416
107	0.5172772921
108	0.5146208792
109	0.5120204991
110	0.5094131631
111	0.5071821417
112	0.5051652401
113	0.5030433244
114	0.5012166547
115	0.4992846582
116	0.4975804367
117	0.4961194757
118	0.4947514046
119	0.493161759
120	0.4914181963
121	0.4897384981
122	0.4882839708
123	0.4868643087
124	0.4855978094
125	0.4843723374
126	0.4831511311
127	0.4820523192
128	0.4808617894
129	0.4797384564
130	0.4786992656
131	0.4777215218
132	0.4768159399
133	0.4759070274
134	0.4749781484
135	0.4740278093
136	0.4731179284
137	0.4723462784
138	0.4718288995
139	0.4711147959
140	0.4703900159
141	0.4698530867
142	0.4691972845
143	0.4686172419
144	0.4681660179
145	0.4675314507
146	0.4669748932
147	0.4664067407
148	0.4656378049
149	0.4650754093
150	0.4645413509
151	0.4639906068
152	0.4635504937
153	0.46331341
154	0.4630776006
155	0.4626369113
156	0.4619912519
157	0.4615561159
158	0.4610326383
159	0.4607758728
160	0.4603572502
161	0.4598721082
162	0.4592533878
163	0.4588768395
164	0.4584405399
165	0.458141363
166	0.4577119915
167	0.4574312371
168	0.4571070385
169	0.4566198586
170	0.4562287624
171	0.4559038712
172	0.4555155445
173	0.4551818157
174	0.4547869708
175	0.4545144458
176	0.4542329744
177	0.4540722243
178	0.4537581427
179	0.4535276144
180	0.45327155
181	0.4528890109
182	0.4526397203
183	0.4523363539
184	0.4521439361
185	0.4517380106
186	0.4513405437
187	0.4512010358
188	0.45107397
189	0.4508453683
190	0.4506939964
191	0.4505000955
192	0.4502990321
193	0.4500884396
194	0.4499514274
195	0.4497422499
196	0.4495782448
197	0.4493788639
198	0.4492415917
199	0.4490637552
200	0.4488286447
201	0.448649489
202	0.4484606546
203	0.4482690878
204	0.448125265
205	0.4476602013
206	0.4473646481
207	0.4472626931
208	0.4470883199
209	0.4469269926
210	0.4468437413
211	0.4466282956
212	0.4464957728
213	0.4462616818
214	0.4460759394
215	0.4459103572
216	0.4454243014
217	0.4450556888
218	0.4449408978
219	0.4448038467
220	0.4446501855
221	0.444458276
222	0.4443433246
223	0.4439356696
224	0.44379079
225	0.4434862923
226	0.4433541207
227	0.4430157055
228	0.4429413562
229	0.4427720704
230	0.4426617458
231	0.4424502862
232	0.4421200648
233	0.4418417735
234	0.4417235556
235	0.4415832037
236	0.4412128131
237	0.4409310236
238	0.440654636
239	0.440558267
240	0.4403060436
241	0.4401955618
242	0.4400294353
243	0.439923766
244	0.439526157
245	0.439387912
246	0.4390601805
247	0.4388429772
248	0.4387087526
249	0.4384284382
250	0.4383153657
251	0.4379695122
252	0.4377603769
253	0.4374785527
254	0.437091482
255	0.4369878808
256	0.4368906084
257	0.4367305889
258	0.436630765
259	0.4365018016
260	0.4364252184
261	0.4363106655
262	0.436086567
263	0.435682697
264	0.4355611617
265	0.4352714661
266	0.4351812989
267	0.4350743413
268	0.4349507305
269	0.4348698703
270	0.4347967266
271	0.4346636061
272	0.4344373426
273	0.434381109
274	0.4342322255
275	0.4341845608
276	0.4341369295
277	0.4338948238
278	0.4337835869
279	0.4335184614
280	0.4334083317
281	0.4332852256
282	0.4330926042
283	0.4330183692
284	0.4326908268
285	0.4325866379
286	0.4323529957
287	0.4319055631
288	0.4318209156
289	0.4316563715
290	0.4313083057
291	0.4311535923
292	0.4308419509
293	0.4305918006
294	0.4304513457
295	0.4302907023
296	0.4301796956
297	0.4300879656
298	0.4298722364
299	0.429619221
300	0.429289121
301	0.4290652119
302	0.4288434884
303	0.4285190823
304	0.4284869226
305	0.4284161884
306	0.4281857704
307	0.4281003757
308	0.4279777746
309	0.4277378468
310	0.4275957574
311	0.4274280416
312	0.4273060101
313	0.4272093251
314	0.426983206
315	0.4268946803
316	0.4268367065
317	0.4267405442
318	0.4266376469
319	0.4264464324
320	0.4261485296
321	0.4260864144
322	0.4259251044
323	0.425848703
324	0.425778395
325	0.4257204694
326	0.4256578059
327	0.425531992
328	0.4254343134
329	0.4252927827
330	0.4249780741
331	0.4248747708
332	0.4246327794
333	0.4244264609
334	0.4244053415
335	0.4243816456
336	0.4242941377
337	0.4241771739
338	0.4240473634
339	0.4239576091
340	0.423542108
341	0.4234693379
342	0.4234521775
343	0.4232248696
344	0.4231384984
345	0.4229468577
346	0.4229228693
347	0.4225885421
348	0.4223261298
349	0.4221912347
350	0.4220902568
351	0.4219221116
352	0.4217690474
353	0.4216473942
354	0.4214532543
355	0.4214156943
356	0.4213678073
357	0.4212950644
358	0.4212189253
359	0.4211399075
360	0.4210907221
361	0.4209756887
362	0.4209583303
363	0.4208326076
364	0.4206990932
365	0.4206059544
366	0.420455882
367	0.4201733053
368	0.420088205
369	0.4199375
370	0.4198530029
371	0.4197995531
372	0.419599594
373	0.4195165486
