iter	RMSE
0	4.986527947
1	4.840269585
2	4.698015793
3	4.560297727
4	4.426758666
5	4.297444318
6	4.172309773
7	4.051518474
8	3.93309493
9	3.818617716
10	3.708363989
11	3.601394583
12	3.497692126
13	3.39708256
14	3.29893908
15	3.203467307
16	3.110978256
17	3.02160542
18	2.935182206
19	2.850972425
20	2.769588412
21	2.690679283
22	2.61420517
23	2.539955014
24	2.467503407
25	2.397134903
26	2.329421283
27	2.263741415
28	2.200019923
29	2.138364945
30	2.079443011
31	2.021463132
32	1.965323761
33	1.910994054
34	1.858196592
35	1.807284849
36	1.758327503
37	1.710845467
38	1.664342254
39	1.619878218
40	1.576898086
41	1.535241363
42	1.494429887
43	1.45556846
44	1.417553719
45	1.38123274
46	1.345795901
47	1.311529552
48	1.278472614
49	1.246625937
50	1.216147564
51	1.186494608
52	1.157423074
53	1.130064134
54	1.10309454
55	1.077449387
56	1.052484053
57	1.028334304
58	1.005141334
59	0.9829402781
60	0.9612008124
61	0.9403865205
62	0.9202808193
63	0.9010676298
64	0.882640876
65	0.8647230921
66	0.847379247
67	0.8310587031
68	0.8153847168
69	0.8003001511
70	0.7858823026
71	0.7719996211
72	0.7584960453
73	0.7452847064
74	0.7331942762
75	0.721467416
76	0.709974982
77	0.6988769921
78	0.6883593451
79	0.6780559827
80	0.6686066704
81	0.6593627133
82	0.6509651091
83	0.6427154922
84	0.6344357249
85	0.6266520339
86	0.6194769818
87	0.6123948739
88	0.6061055628
89	0.6001214174
90	0.5939771551
91	0.5879172088
92	0.582268555
93	0.5775421281
94	0.5730593252
95	0.5680919594
96	0.5632875007
97	0.5590071804
98	0.5550021784
99	0.5508576954
100	0.5471907873
101	0.5433058132
102	0.5398864646
103	0.5362741871
104	0.5331829412
105	0.5300371089
106	0.5269749259
107	0.5243546539
108	0.5217107111
109	0.5190268434
110	0.516515326
111	0.5141414196
112	0.5122769975
113	0.5101850109
114	0.5080605003
115	0.5058805601
116	0.5040964636
117	0.5022967829
118	0.5004962217
119	0.4988748951
120	0.4974473259
121	0.495860508
122	0.4945464267
123	0.4931345335
124	0.4919370383
125	0.4904741845
126	0.4891213482
127	0.4879781489
128	0.4869375255
129	0.4860464683
130	0.4850364792
131	0.4840790476
132	0.4831794937
133	0.4822945371
134	0.4813403716
135	0.4805991121
136	0.4797087777
137	0.4790353134
138	0.478248781
139	0.4775850894
140	0.4768564572
141	0.4762001991
142	0.4755622066
143	0.4746886811
144	0.474357673
145	0.4734611761
146	0.4729025982
147	0.4725910899
148	0.4719781314
149	0.471627454
150	0.4711045585
151	0.4707509187
152	0.4702413046
153	0.4699210461
154	0.4694270652
155	0.4689092223
156	0.4685109159
157	0.4681093036
158	0.4675221233
159	0.4672075634
160	0.4668631972
161	0.4664809706
162	0.4660918541
163	0.4657466484
164	0.4654189165
165	0.465114139
166	0.4645655178
167	0.4643195224
168	0.4639942733
169	0.463302593
170	0.4628662637
171	0.4625107082
172	0.4622057839
173	0.4618650369
174	0.4615982321
175	0.461318354
176	0.4611245034
177	0.4608373253
178	0.4605270785
179	0.4602878048
180	0.4597945067
181	0.4592438616
182	0.4587103817
183	0.4585593694
184	0.458358059
185	0.45815375
186	0.457765851
187	0.4575193371
188	0.4571851393
189	0.4568751527
190	0.4563223438
191	0.4560624206
192	0.4559436852
193	0.4555960863
194	0.455425061
195	0.4552645404
196	0.4551002772
197	0.4548560633
198	0.4544168846
199	0.4542066002
200	0.4540139501
201	0.4534827214
202	0.4532258167
203	0.452867521
204	0.4523661466
205	0.4521618996
206	0.4515615222
207	0.451374018
208	0.4506748132
209	0.4504199143
210	0.450230635
211	0.4500772038
212	0.4498474216
213	0.4496974145
214	0.4495400525
215	0.449265443
216	0.4490241151
217	0.4488037169
218	0.4485691398
219	0.4484039833
220	0.4483134883
221	0.4479180329
222	0.4478142511
223	0.4476505822
224	0.4475096475
225	0.4472477802
226	0.447035581
227	0.4467684269
228	0.4464261796
229	0.4463218121
230	0.446087439
231	0.4459565363
232	0.4458416875
233	0.4456325494
234	0.4454898647
235	0.4452470032
236	0.4451073875
237	0.4449489377
238	0.4448017229
239	0.4446882789
240	0.4445783913
241	0.4445125762
242	0.4443964168
243	0.4440705385
244	0.4440083588
245	0.4436306221
246	0.4434068667
247	0.4431845478
248	0.4430524695
249	0.442747282
250	0.4426594928
251	0.4425386311
252	0.4424853431
253	0.4424741978
254	0.4424108165
255	0.4422484521
256	0.4420158176
257	0.4419206506
258	0.4418031393
259	0.4415397508
260	0.4409804735
261	0.4409036404
262	0.4407609794
263	0.440640859
264	0.4405184318
265	0.4404409127
266	0.4403448889
267	0.4402706746
268	0.4400175091
269	0.4399251771
270	0.4396196735
271	0.4396108723
272	0.4394938135
273	0.4393264429
274	0.4390239303
275	0.4388933613
276	0.4387766741
277	0.4386715747
278	0.438541887
279	0.4384218959
280	0.4383327153
281	0.4379764369
282	0.437844533
283	0.4375602242
284	0.437483563
285	0.4372657606
286	0.4370883903
287	0.4369934556
288	0.4368477642
289	0.4367167571
290	0.4365341235
291	0.4363155496
292	0.4362513645
293	0.4361520693
294	0.4358089206
295	0.4356180278
296	0.4353474285
297	0.4352951395
298	0.4352190158
299	0.4349850543
300	0.4349179938
301	0.4347122104
302	0.4345911204
303	0.4342923139
304	0.4342347784
305	0.4341624153
306	0.4339600974
307	0.4338434117
308	0.4337766942
309	0.4337068649
310	0.433618641
311	0.433456096
312	0.4332758973
313	0.4332049993
314	0.4331293631
315	0.4330796
316	0.432701931
317	0.4325228629
318	0.4324383026
319	0.4320301409
320	0.4319545706
321	0.4318207737
322	0.4316588082
323	0.4315739382
324	0.431341643
325	0.4312421862
326	0.4307163744
327	0.430601559
328	0.4302588337
329	0.4301502792
330	0.4300228013
331	0.4299399176
332	0.429871056
333	0.4297567134
334	0.4295481425
335	0.4293068779
336	0.4292358058
337	0.4289185704
338	0.4286860331
339	0.4285856584
340	0.4282447776
341	0.4281996787
342	0.4281320345
343	0.4280678024
344	0.4279170145
345	0.4278520502
346	0.4277224761
347	0.4275320302
348	0.4274098996
349	0.4272759018
350	0.4270595805
351	0.426973683
352	0.4267865449
353	0.4266279113
354	0.4263402126
355	0.4261533301
356	0.4259491301
357	0.4257433849
358	0.4256082198
359	0.4255322237
360	0.4254369923
361	0.4253554982
362	0.4252841202
363	0.4251275586
364	0.4249467355
365	0.4248769991
366	0.4247813866
367	0.4246779203
368	0.4246096437
369	0.4244977001
370	0.4244019417
371	0.4242436238
372	0.4241574642
373	0.4239754136
