iter	Passed	Remaining
0	3	3901
1	7	3840
2	11	3772
3	13	3370
4	17	3398
5	20	3420
6	24	3460
7	27	3445
8	31	3432
9	34	3435
10	38	3437
11	41	3453
12	46	3499
13	49	3503
14	53	3483
15	56	3466
16	57	3334
17	60	3323
18	64	3342
19	68	3343
20	72	3364
21	76	3379
22	79	3393
23	83	3400
24	87	3408
25	90	3371
26	92	3336
27	95	3328
28	98	3296
29	101	3271
30	102	3189
31	104	3168
32	108	3165
33	111	3163
34	114	3148
35	115	3098
36	119	3098
37	121	3084
38	124	3069
39	127	3062
40	130	3059
41	133	3052
42	136	3047
43	141	3075
44	147	3130
45	153	3182
46	158	3212
47	161	3201
48	164	3199
49	202	3842
50	231	4299
51	234	4270
52	237	4248
53	239	4195
54	242	4172
55	246	4151
56	249	4125
57	252	4105
58	256	4086
59	259	4062
60	262	4039
61	265	4020
62	268	3998
63	271	3976
64	274	3948
65	278	3934
66	281	3918
67	285	3911
68	287	3876
69	290	3853
70	293	3835
71	296	3815
72	298	3796
73	331	4153
74	333	4107
75	337	4098
76	340	4078
77	343	4059
78	346	4042
79	349	4019
80	352	4002
81	355	3981
82	357	3948
83	360	3934
84	364	3923
85	367	3910
86	371	3894
87	373	3875
88	375	3839
89	376	3811
90	380	3798
91	383	3786
92	386	3768
93	387	3732
94	388	3697
95	391	3684
96	394	3670
97	397	3657
98	400	3641
99	403	3630
100	406	3616
101	409	3605
102	412	3595
103	415	3582
104	419	3574
105	422	3565
106	426	3558
107	430	3555
108	433	3543
109	436	3532
110	439	3516
111	441	3502
112	443	3482
113	446	3471
114	449	3460
115	452	3447
116	454	3432
117	457	3420
118	460	3408
119	463	3396
120	464	3373
121	467	3361
122	469	3348
123	472	3334
124	475	3327
125	478	3321
126	481	3309
127	484	3299
128	487	3288
129	490	3281
130	492	3269
131	495	3260
132	498	3248
133	501	3240
134	504	3230
135	506	3220
136	510	3214
137	513	3205
138	516	3197
139	519	3188
140	521	3178
141	525	3173
142	528	3165
143	531	3157
144	532	3139
145	535	3129
146	538	3123
147	539	3108
148	542	3100
149	544	3087
150	547	3080
151	550	3068
152	552	3059
153	555	3049
154	558	3042
155	561	3038
156	564	3032
157	567	3025
158	570	3019
159	573	3011
160	576	3004
161	579	2999
162	583	2996
163	586	2989
164	589	2981
165	592	2976
166	595	2972
167	598	2965
168	601	2959
169	604	2953
170	608	2948
171	611	2942
172	614	2937
173	617	2933
174	621	2928
175	624	2924
176	627	2917
177	630	2913
178	634	2909
179	637	2903
180	640	2899
181	643	2892
182	646	2885
183	649	2879
184	652	2872
185	654	2866
186	657	2859
187	661	2855
188	664	2849
189	667	2843
190	669	2836
191	673	2833
192	675	2826
193	679	2823
194	682	2819
195	686	2814
196	689	2809
197	691	2802
198	694	2797
199	698	2792
200	701	2788
201	704	2783
202	707	2777
203	710	2771
204	712	2765
205	716	2761
206	720	2759
207	722	2752
208	725	2746
209	728	2741
210	732	2737
211	735	2732
212	737	2725
213	740	2719
214	743	2714
215	746	2709
216	749	2704
217	752	2698
218	755	2694
219	758	2689
220	761	2683
221	763	2677
222	767	2673
223	770	2667
224	772	2662
225	775	2656
226	778	2651
227	781	2646
228	784	2641
229	787	2637
230	791	2634
231	794	2629
232	797	2624
233	800	2618
234	802	2613
235	805	2607
236	808	2603
237	811	2599
238	815	2595
239	817	2588
240	820	2585
241	824	2582
242	827	2578
243	831	2575
244	833	2569
245	836	2565
246	840	2561
247	843	2557
248	846	2553
249	849	2549
250	853	2546
251	856	2542
252	859	2537
253	860	2528
254	863	2523
255	866	2519
256	870	2515
257	873	2512
258	876	2509
259	880	2504
260	883	2500
261	885	2495
262	888	2490
263	891	2486
264	894	2482
265	897	2476
266	901	2473
267	903	2469
268	907	2466
269	910	2461
270	913	2457
271	914	2448
272	918	2444
273	921	2440
274	924	2437
275	927	2433
276	930	2428
277	933	2424
278	937	2422
279	940	2418
280	943	2414
281	947	2412
282	950	2408
283	953	2404
284	956	2399
285	959	2396
286	963	2393
287	966	2390
288	969	2385
289	972	2381
290	976	2378
291	979	2374
292	981	2369
293	984	2365
294	988	2362
295	991	2358
296	994	2354
