iter	RMSE
0	4.982653692
1	4.836473633
2	4.694313109
3	4.556642306
4	4.423183871
5	4.293923769
6	4.168875018
7	4.048143086
8	3.92979616
9	3.815380031
10	3.705106911
11	3.598157767
12	3.494494509
13	3.393919925
14	3.29569117
15	3.200228971
16	3.107779491
17	3.018173632
18	2.930904618
19	2.846601541
20	2.76465824
21	2.685290362
22	2.609209846
23	2.534436169
24	2.462555618
25	2.392411178
26	2.32480688
27	2.259184786
28	2.195480963
29	2.134490646
30	2.075190641
31	2.0174615
32	1.961854218
33	1.908482064
34	1.856416703
35	1.805335311
36	1.755780546
37	1.707942652
38	1.661926954
39	1.617306633
40	1.574950687
41	1.533203095
42	1.492867068
43	1.453487575
44	1.415560452
45	1.379142614
46	1.344092961
47	1.309592186
48	1.27698739
49	1.245435137
50	1.214514373
51	1.184788847
52	1.155964644
53	1.128475205
54	1.101769876
55	1.076020983
56	1.050726273
57	1.026697368
58	1.003792901
59	0.9814382055
60	0.9599431627
61	0.9397443382
62	0.9198209471
63	0.9003600428
64	0.8814038076
65	0.8634323635
66	0.8461574855
67	0.8304542079
68	0.8143121213
69	0.7993698887
70	0.7848950827
71	0.7708791263
72	0.7572513191
73	0.7441235095
74	0.731644981
75	0.7195366052
76	0.7078093458
77	0.6968153033
78	0.6861246203
79	0.6762919566
80	0.6667716905
81	0.6577999638
82	0.6491104736
83	0.640587354
84	0.6322993908
85	0.624470933
86	0.6172256773
87	0.6108250804
88	0.6041208152
89	0.5979433691
90	0.5917938907
91	0.5857515768
92	0.5799219936
93	0.5750487987
94	0.5700962509
95	0.5651985696
96	0.5604356043
97	0.5561821733
98	0.5515684842
99	0.5475085786
100	0.5435947406
101	0.5396737488
102	0.5360986566
103	0.5327715309
104	0.5296012665
105	0.5268491514
106	0.5241037782
107	0.5214215985
108	0.5189644253
109	0.5162853651
110	0.5140639777
111	0.5117210038
112	0.5095132844
113	0.5074051491
114	0.5053591962
115	0.50354836
116	0.501531467
117	0.4998832744
118	0.498422148
119	0.4967654813
120	0.4952296126
121	0.4935538756
122	0.4920694779
123	0.4906792852
124	0.4894167529
125	0.4884470637
126	0.4873613347
127	0.4860970114
128	0.4851611853
129	0.4836024706
130	0.4821592785
131	0.4810864668
132	0.4799088848
133	0.4787622082
134	0.4778823213
135	0.4764838518
136	0.4756313621
137	0.4748407398
138	0.4737882287
139	0.4725985507
140	0.4715730806
141	0.4708112806
142	0.4700920549
143	0.4694281983
144	0.4687675508
145	0.4680353275
146	0.4674650729
147	0.46704112
148	0.4665357634
149	0.4660333298
150	0.4652328994
151	0.4646841865
152	0.4641166625
153	0.463503108
154	0.4631349154
155	0.462735076
156	0.4622968395
157	0.4619319885
158	0.4615857563
159	0.461331311
160	0.4609237867
161	0.4604516352
162	0.4599586875
163	0.4595997397
164	0.4589903107
165	0.4585312004
166	0.4582023664
167	0.4578795487
168	0.4577035034
169	0.4573683753
170	0.4571135697
171	0.4567855654
172	0.4565155142
173	0.4562407742
174	0.4558992556
175	0.4556164301
176	0.455324752
177	0.4550239064
178	0.4548487962
179	0.454468701
180	0.4541717763
181	0.4534328129
182	0.4531950229
183	0.4530110161
184	0.4527386764
185	0.452396506
186	0.4520730997
187	0.451899573
188	0.4517386315
189	0.4515111831
190	0.4513374975
191	0.4511243454
192	0.4509166437
193	0.4507593836
194	0.4502253745
195	0.4500952742
196	0.4499404032
197	0.4497864894
198	0.4493438701
199	0.4491850767
200	0.4485556662
201	0.4483072684
202	0.4480314953
203	0.4478126795
204	0.4476019072
205	0.4474777764
206	0.4474139971
207	0.4472632326
208	0.4468345835
209	0.4464351848
210	0.4460634953
211	0.4459796057
212	0.4458636209
213	0.4456368604
214	0.445547505
215	0.4453872863
216	0.445099201
217	0.4447690574
218	0.4443442037
219	0.4439571552
220	0.4439165227
221	0.4437394713
222	0.4433561386
223	0.4432402692
224	0.4430606961
225	0.4428392568
226	0.4426500312
227	0.44262277
228	0.442491942
229	0.4423784964
230	0.4422149299
231	0.4420569333
232	0.4417591614
233	0.4415835573
234	0.4415161271
235	0.4411999518
236	0.4411830987
237	0.440898211
238	0.4408589348
239	0.4407824711
240	0.440688
241	0.4404724337
242	0.4402294741
243	0.4401082164
244	0.4399258801
245	0.4398771395
246	0.4397572939
247	0.4395093828
248	0.4392174466
249	0.4390636546
250	0.4389204862
251	0.4387210547
252	0.4385820442
253	0.4384300649
254	0.4380449702
255	0.4377702447
256	0.4376998425
257	0.4375750558
258	0.4374473897
259	0.4373822138
260	0.4372756656
261	0.4369875976
262	0.4367793625
263	0.4366738199
264	0.43645287
265	0.4363922128
266	0.4363398903
267	0.4362179532
268	0.4361197781
269	0.4356478527
270	0.4355356638
271	0.4352224675
272	0.4351357483
273	0.4347727007
274	0.4345600653
275	0.4343761191
276	0.4342389024
277	0.4341515817
278	0.4338256237
279	0.4337416765
280	0.4336726865
281	0.4336291278
282	0.4335569084
283	0.4334745338
284	0.4334258207
285	0.4333639437
286	0.4331704345
287	0.433134768
288	0.4329378864
289	0.4326918843
290	0.4322267434
291	0.4320134813
292	0.431986685
293	0.4319652471
294	0.4318662018
295	0.4317871024
296	0.4316816426
297	0.4316214637
298	0.4315105705
299	0.431470905
300	0.4313974359
301	0.431368647
302	0.4311542154
303	0.430829431
304	0.4307225377
305	0.4301606616
306	0.4301147042
307	0.4296589389
308	0.4296370151
309	0.4296175459
310	0.4293796951
311	0.4293605233
312	0.4292063022
313	0.4292034299
314	0.4291648089
315	0.429095582
316	0.4287586919
317	0.4286995036
318	0.4286803213
319	0.428662012
320	0.4286440731
321	0.4284403453
322	0.4280585063
323	0.4278211219
324	0.4277619463
325	0.4274450989
326	0.4274161418
327	0.4273943137
328	0.4273688659
329	0.4270655013
330	0.426995338
331	0.4267171211
332	0.4266091294
333	0.4265524672
334	0.4264795907
335	0.4264533495
336	0.4262062778
337	0.4257829137
338	0.4254938582
339	0.4254723852
340	0.4253902303
341	0.4253471581
342	0.4250910104
343	0.4248745099
344	0.424574228
345	0.4244652255
346	0.4242299399
347	0.4242077041
348	0.4240514356
349	0.4239056235
350	0.4238845543
351	0.4236000174
352	0.4235057317
353	0.4234310264
354	0.4232794831
355	0.423073451
356	0.4229463355
357	0.4228869812
358	0.4227634836
359	0.4227396779
360	0.42261668
361	0.4225528222
362	0.4224672329
363	0.4224153708
364	0.4221644804
365	0.4219487791
366	0.4217324016
367	0.4215617206
368	0.4215159713
369	0.4214065557
370	0.4213015072
371	0.4212252776
372	0.4212088752
373	0.4210543751
374	0.420959288
375	0.4209376325
376	0.4209045139
377	0.4207974666
378	0.4207895206
379	0.4207559519
380	0.4207471924
381	0.4206402574
382	0.4205899547
383	0.4205825899
384	0.4204923453
385	0.4203600259
386	0.4203415739
387	0.4203024552
388	0.420203852
389	0.420175391
390	0.4201417433
391	0.4201257249
392	0.419924748
393	0.4199069268
394	0.4197461493
395	0.4196633094
396	0.4194093036
397	0.4193909159
398	0.4193664966
399	0.4192612138
400	0.4191855079
401	0.4191656232
402	0.4191530302
403	0.4191367048
404	0.4190299417
405	0.418850279
406	0.4186713725
407	0.4184903315
408	0.4183429401
409	0.4182683799
410	0.4181081173
411	0.41805029
412	0.4180335315
413	0.4178545294
414	0.4178422685
415	0.4176989348
416	0.4176828754
417	0.4174326775
418	0.4173000741
419	0.417280754
420	0.4172012961
421	0.416963565
422	0.4167947701
423	0.416779387
424	0.4167678817
425	0.4166908944
426	0.4165690738
427	0.4165548083
428	0.4164531918
429	0.4163517731
430	0.4162215747
431	0.416129346
432	0.4161216257
433	0.4160556061
434	0.4160468004
435	0.4159285063
436	0.4159200721
437	0.4158831381
438	0.4157537553
439	0.4156758531
440	0.4156084875
441	0.4155011998
442	0.4153687713
443	0.4153561543
444	0.4152580702
445	0.415101956
446	0.4149484974
447	0.4148506708
448	0.4147987929
449	0.4146826176
450	0.4146366316
451	0.4146102727
452	0.4145102728
453	0.4144944012
454	0.4143990894
455	0.4143236578
456	0.4142306023
457	0.4141656507
458	0.41413118
459	0.4140831782
460	0.413934824
461	0.4138389172
462	0.4135381199
463	0.4135047967
464	0.4133449968
465	0.4132951453
466	0.4131770166
467	0.4131653563
468	0.413122179
469	0.4131066787
470	0.4129819063
471	0.412913749
472	0.4128294442
473	0.4126498325
474	0.4125582965
475	0.4124543092
476	0.4122770716
477	0.4122108607
478	0.4121493108
479	0.4120700286
480	0.4118548745
481	0.4118058879
482	0.4116861788
483	0.411642856
484	0.411633446
485	0.4115301387
486	0.4114634853
487	0.4114413904
488	0.4114102972
489	0.4113263032
490	0.4112554185
491	0.4111947656
492	0.4110700885
493	0.4109980673
494	0.4109828534
495	0.4108685384
496	0.4106859261
497	0.410659384
498	0.4106125732
499	0.4105714135
500	0.410502176
501	0.4104032519
502	0.4103332071
503	0.4103067448
504	0.4101047559
505	0.4100086011
506	0.4100011413
507	0.4099348863
508	0.4098927899
509	0.4098698173
510	0.409757362
511	0.4095979517
512	0.4095128539
513	0.409298359
514	0.4091123877
515	0.4090619206
516	0.409009348
517	0.4089406232
518	0.4089182436
519	0.4088257308
520	0.4087864593
521	0.4087465693
522	0.4086510696
523	0.4085968491
524	0.408537856
525	0.4084813856
526	0.4083913441
527	0.4083483027
528	0.4081748668
529	0.4081116593
530	0.4080142474
531	0.4079397197
532	0.4077774503
533	0.4076413837
534	0.4075821299
535	0.4075416814
536	0.4074860014
537	0.4073130398
538	0.4072877306
539	0.4072096372
540	0.4071895368
541	0.4071262946
542	0.4070801028
543	0.4069906858
544	0.4069080404
545	0.4066611312
546	0.4066196794
547	0.4065966634
548	0.4065099285
549	0.4063279998
550	0.4061882151
551	0.4061546294
552	0.4060798797
553	0.4059955206
554	0.4057350631
555	0.4056583862
556	0.4056331021
557	0.405434651
558	0.4053468493
559	0.4052512202
560	0.4051636954
561	0.4051282273
562	0.4050915577
563	0.4050421773
564	0.4049413148
565	0.404920525
566	0.4048972608
567	0.4048441824
568	0.4048128119
569	0.4047548661
570	0.4045832313
571	0.4045454208
572	0.4044678287
573	0.4044277088
574	0.4043718867
575	0.4043223891
576	0.4042400714
577	0.4042104481
578	0.4041440929
579	0.4041198718
580	0.4040944443
581	0.4039467268
582	0.4038983605
583	0.4038482184
584	0.4037729364
585	0.4037628152
586	0.4036655804
587	0.4036382243
588	0.4035727307
589	0.4034757247
590	0.4033835856
591	0.4033010152
592	0.4032282049
593	0.4031826858
594	0.4031677655
595	0.403162053
596	0.403069138
597	0.4030234808
598	0.4029882564
599	0.4029082083
600	0.4028484046
601	0.4027879896
602	0.4026208466
603	0.4025867384
604	0.4025091671
605	0.4024664433
606	0.4024108096
607	0.402364187
608	0.4022952937
609	0.4022416477
610	0.4020911658
611	0.4020666537
612	0.4019428027
613	0.4019179247
614	0.4017355264
615	0.4016764518
616	0.4016395582
617	0.4015450863
618	0.4014838274
619	0.4014718892
620	0.4014232994
621	0.4014060192
622	0.4013254952
623	0.4012425236
624	0.4012039518
625	0.4011988602
626	0.4011354873
627	0.4010974693
628	0.4010751825
629	0.4010072749
630	0.4009720657
631	0.4008728055
632	0.400852364
633	0.4007727098
634	0.400667188
635	0.4005759452
636	0.4004798241
637	0.4003979771
638	0.4002601601
639	0.4000716494
640	0.3999686795
641	0.3999301086
642	0.3999034974
643	0.3998343218
644	0.3997645536
645	0.3996812599
646	0.3996103627
647	0.3995542659
648	0.3995072946
649	0.3994640206
650	0.3994121129
651	0.3992719467
652	0.3992376123
653	0.3992020934
654	0.3990812086
655	0.3990538454
656	0.3989859113
657	0.3989272641
658	0.3988670399
659	0.3988458994
660	0.3988098347
661	0.3986732098
662	0.3985351617
663	0.3984675671
664	0.3982659461
665	0.3982153189
666	0.3981101961
667	0.39808947
668	0.3980440495
669	0.3979936399
670	0.3979737758
671	0.3977617899
672	0.3976124147
673	0.3975551493
674	0.3975142971
675	0.3974907808
676	0.3974657614
677	0.397316868
678	0.3971657996
679	0.3971347546
680	0.3970791296
681	0.3970216251
682	0.396826068
683	0.3967750027
684	0.396729925
685	0.3965468142
686	0.3963879362
687	0.3963756965
688	0.3962747827
689	0.3962210631
690	0.3961571601
691	0.3960958658
692	0.3960705219
693	0.3959109129
694	0.3957716131
695	0.3956394639
696	0.3955234881
697	0.3954359738
698	0.3953363046
699	0.3952839502
700	0.3952538228
701	0.3952474687
702	0.3952201524
703	0.395201002
704	0.3950696451
705	0.3950304088
706	0.3950075503
707	0.3949305786
708	0.3948630205
709	0.394838964
710	0.3948329975
711	0.3947416015
712	0.3946735903
713	0.394448032
714	0.394393867
715	0.3943148396
716	0.3941853523
717	0.3941082287
718	0.3940522564
719	0.3940386644
720	0.394010381
721	0.3939668309
722	0.3939492422
723	0.3938878207
724	0.3938276426
725	0.3938053329
726	0.3936677812
727	0.3935794994
728	0.3934975914
729	0.393413106
730	0.3933477181
731	0.3933127526
732	0.3932222087
733	0.3931618167
734	0.3931182037
735	0.3930111071
736	0.3929691774
737	0.3929146897
738	0.3928317643
739	0.3927956334
740	0.392772111
741	0.3927562125
742	0.3926586621
743	0.3926362013
744	0.3925787801
745	0.392546069
746	0.3924744456
747	0.3924437188
748	0.3924248046
749	0.3923486751
750	0.3921920109
751	0.3920370992
752	0.3919336381
753	0.3918451922
754	0.3918198346
755	0.3917943176
756	0.3917778063
757	0.3917355183
758	0.3916814866
