iter	Passed	Remaining
0	5	5545
1	11	5556
2	16	5526
3	19	4919
4	25	4993
5	31	5152
6	36	5237
7	42	5213
8	47	5207
9	52	5213
10	58	5226
11	63	5264
12	69	5272
13	73	5157
14	76	5018
15	79	4900
16	83	4814
17	85	4683
18	88	4580
19	91	4500
20	94	4421
21	97	4331
22	98	4174
23	101	4109
24	103	4045
25	105	3944
26	106	3832
27	109	3792
28	111	3725
29	112	3639
30	115	3615
31	117	3559
32	120	3543
33	121	3459
34	125	3455
35	128	3444
36	131	3430
37	134	3410
38	137	3399
39	140	3383
40	141	3317
41	144	3306
42	148	3294
43	151	3283
44	153	3262
45	156	3246
46	159	3232
47	162	3222
48	165	3205
49	167	3177
50	169	3151
51	170	3115
52	174	3113
53	176	3088
54	179	3079
55	181	3056
56	184	3044
57	186	3036
58	189	3028
59	192	3018
60	195	3011
61	196	2976
62	198	2958
63	202	2958
64	205	2952
65	208	2952
66	211	2947
67	212	2913
68	215	2909
69	218	2907
70	221	2893
71	223	2883
72	226	2881
73	230	2884
74	233	2880
75	236	2879
76	240	2877
77	243	2874
78	245	2866
79	248	2854
80	249	2836
81	253	2833
82	256	2832
83	259	2824
84	261	2818
85	265	2819
86	268	2815
87	269	2789
88	272	2787
89	273	2769
90	277	2769
91	280	2766
92	283	2765
93	284	2745
94	287	2740
95	290	2737
96	294	2739
97	297	2733
98	300	2732
99	303	2732
100	307	2735
101	310	2737
102	314	2735
103	317	2736
104	320	2733
105	322	2718
106	325	2714
107	328	2712
108	331	2708
109	334	2708
110	337	2705
111	341	2704
112	344	2705
113	347	2703
114	351	2703
115	354	2701
116	358	2703
117	361	2701
118	363	2693
119	367	2692
120	370	2688
121	373	2685
122	376	2682
123	379	2677
124	382	2676
125	383	2662
126	386	2660
127	390	2657
128	393	2657
129	396	2653
130	399	2649
131	402	2644
132	405	2641
133	407	2635
134	410	2633
135	413	2629
136	416	2622
137	418	2615
138	421	2611
139	424	2606
140	426	2600
141	429	2597
142	432	2593
143	435	2591
144	438	2585
145	441	2583
146	444	2576
147	446	2567
148	448	2561
149	451	2557
150	453	2551
151	456	2546
152	459	2542
153	462	2538
154	464	2532
155	466	2526
156	469	2522
157	472	2516
158	474	2509
159	476	2502
160	479	2499
161	482	2496
162	485	2492
163	488	2487
164	490	2484
165	494	2481
166	496	2476
167	499	2473
168	502	2469
169	504	2465
170	508	2462
171	511	2461
172	514	2457
173	517	2454
174	519	2450
175	523	2448
176	526	2447
177	529	2444
178	532	2443
179	536	2441
180	538	2438
181	541	2435
182	544	2432
183	547	2430
