iter	Passed	Remaining
0	3	3784
1	7	3708
2	11	3707
3	13	3428
4	17	3431
5	20	3432
6	24	3461
7	27	3435
8	31	3423
9	34	3426
10	38	3433
11	42	3498
12	46	3521
13	50	3522
14	53	3502
15	56	3490
16	60	3506
17	63	3468
18	66	3437
19	69	3422
20	73	3431
21	76	3417
22	79	3377
23	82	3346
24	84	3295
25	87	3262
26	90	3248
27	93	3237
28	95	3186
29	98	3175
30	101	3174
31	104	3173
32	107	3159
33	109	3100
34	112	3099
35	115	3084
36	117	3066
37	120	3056
38	123	3049
39	126	3035
40	128	2998
41	129	2953
42	132	2943
43	136	2957
44	139	2955
45	141	2938
46	144	2925
47	146	2913
48	149	2909
49	153	2908
50	155	2902
51	159	2899
52	162	2910
53	165	2906
54	169	2912
55	172	2908
56	173	2875
57	177	2879
58	180	2873
59	183	2867
60	184	2843
61	188	2844
62	188	2809
63	192	2810
64	194	2804
65	199	2824
66	207	2886
67	210	2883
68	216	2916
69	219	2909
70	223	2922
71	226	2923
72	230	2922
73	323	4042
74	329	4058
75	331	4033
76	335	4018
77	338	4005
78	342	3988
79	343	3953
80	345	3918
81	349	3907
82	351	3886
83	354	3864
84	357	3850
85	360	3831
86	364	3820
87	367	3807
88	370	3788
89	373	3772
90	376	3758
91	379	3747
92	387	3777
93	390	3768
94	394	3754
95	397	3740
96	400	3725
97	403	3712
98	406	3701
99	410	3691
100	413	3683
101	417	3671
102	420	3659
103	423	3651
104	426	3635
105	429	3620
106	432	3610
107	435	3600
108	438	3586
109	439	3559
110	442	3547
111	446	3537
112	449	3525
113	452	3515
114	455	3508
115	457	3485
116	460	3476
117	487	3642
118	490	3632
119	491	3606
120	494	3594
121	497	3583
122	500	3571
123	504	3562
124	507	3553
125	511	3546
126	514	3536
127	517	3523
128	520	3513
129	524	3507
130	526	3494
131	529	3483
132	533	3475
133	536	3465
134	539	3456
135	542	3443
136	545	3435
137	546	3416
138	549	3401
139	552	3392
140	555	3382
141	558	3371
142	559	3355
143	562	3345
144	565	3334
145	568	3323
146	571	3314
147	574	3304
148	576	3295
149	579	3284
150	582	3273
151	584	3262
152	587	3250
