iter	Passed	Remaining
437	1400	1796
438	1403	1793
439	1406	1789
440	1409	1786
441	1411	1782
442	1415	1779
443	1418	1776
444	1422	1773
445	1424	1769
446	1427	1766
447	1430	1762
448	1434	1760
449	1437	1757
450	1441	1755
451	1445	1752
452	1448	1749
453	1451	1745
454	1455	1742
455	1458	1740
456	1461	1736
457	1464	1733
458	1467	1729
459	1471	1726
460	1473	1723
461	1476	1719
462	1480	1717
463	1483	1713
464	1487	1711
465	1489	1707
466	1492	1703
467	1495	1699
468	1498	1696
469	1500	1692
470	1504	1689
471	1507	1686
472	1510	1683
473	1513	1679
474	1516	1676
475	1519	1672
476	1522	1668
477	1525	1666
478	1529	1663
479	1532	1660
480	1535	1657
481	1539	1654
482	1543	1651
483	1545	1647
484	1548	1644
485	1551	1641
486	1554	1637
487	1557	1634
488	1560	1630
489	1563	1627
490	1567	1624
491	1570	1621
492	1573	1618
493	1577	1615
494	1581	1613
495	1584	1610
496	1587	1606
497	1590	1603
498	1594	1600
499	1597	1597
500	1601	1595
501	1604	1591
502	1607	1588
503	1610	1585
504	1614	1582
505	1617	1579
506	1620	1575
507	1623	1572
508	1625	1568
509	1629	1565
510	1633	1562
511	1636	1559
512	1640	1556
513	1642	1553
514	1645	1550
515	1649	1546
516	1652	1543
517	1655	1540
518	1659	1537
519	1662	1534
520	1665	1531
521	1668	1528
522	1671	1524
523	1675	1521
524	1678	1518
525	1681	1515
526	1684	1512
527	1687	1508
528	1690	1505
529	1693	1501
530	1696	1498
531	1699	1495
532	1702	1491
533	1706	1488
534	1709	1485
535	1711	1481
536	1715	1478
537	1718	1475
538	1721	1472
539	1724	1469
540	1727	1465
541	1730	1462
542	1733	1459
543	1736	1455
544	1739	1452
545	1742	1449
546	1745	1445
547	1749	1442
548	1752	1439
549	1755	1436
550	1759	1433
551	1762	1430
552	1765	1427
553	1768	1423
554	1771	1420
555	1774	1417
556	1777	1413
557	1780	1410
558	1784	1407
559	1786	1404
560	1790	1400
561	1792	1397
562	1795	1393
563	1799	1391
564	1802	1387
565	1808	1386
566	1814	1385
567	1816	1381
568	1820	1378
569	1823	1375
570	1872	1406
571	1877	1404
572	1880	1401
573	1883	1397
574	1886	1394
575	1890	1391
576	1893	1387
577	1896	1384
578	1899	1381
579	1903	1378
580	1906	1375
581	1909	1371
582	1912	1367
583	1915	1364
584	1918	1361
585	1921	1357
586	1924	1354
587	1928	1351
588	1931	1347
589	1935	1344
590	1938	1341
591	1941	1338
592	1944	1334
593	1948	1331
594	1951	1328
595	1960	1328
596	1963	1325
597	1966	1321
598	1969	1318
599	1972	1314
600	1975	1311
601	1978	1308
602	1982	1304
603	1985	1301
604	1988	1298
605	1991	1294
606	1994	1291
607	1998	1288
608	2001	1284
609	2004	1281
610	2007	1278
611	2011	1274
612	2013	1271
613	2018	1268
614	2021	1265
615	2024	1262
616	2027	1258
617	2030	1255
618	2033	1251
619	2036	1248
620	2040	1245
621	2043	1242
622	2047	1239
623	2051	1236
624	2055	1233
625	2059	1230
626	2063	1227
627	2068	1225
628	2071	1221
629	2075	1219
630	2079	1215
631	2083	1213
632	2087	1210
633	2092	1207
634	2097	1205
635	2101	1202
636	2106	1200
637	2111	1198
638	2115	1195
639	2118	1191
640	2122	1188
641	2125	1185
642	2128	1181
643	2131	1178
644	2134	1175
645	2138	1171
646	2141	1168
647	2144	1165
648	2148	1161
649	2151	1158
650	2154	1155
651	2158	1151
652	2160	1148
653	2164	1144
654	2167	1141
655	2170	1138
656	2173	1134
657	2176	1131
658	2179	1127
659	2183	1124
660	2186	1121
661	2190	1118
662	2194	1115
663	2197	1112
664	2202	1109
665	2206	1106
666	2209	1103
667	2213	1100
668	2215	1096
669	2219	1092
670	2223	1090
671	2226	1086
672	2230	1083
673	2233	1080
674	2236	1076
675	2240	1073
676	2243	1070
677	2246	1067
678	2250	1063
679	2253	1060
680	2256	1057
681	2259	1053
682	2262	1050
683	2265	1046
684	2268	1043
685	2272	1040
686	2276	1037
687	2279	1033
688	2282	1030
689	2285	1026
690	2289	1023
691	2292	1020
692	2295	1017
693	2299	1013
694	2302	1010
695	2305	1006
696	2308	1003
697	2312	1000
698	2316	997
699	2319	994
700	2322	990
701	2326	987
702	2329	983
703	2332	980
704	2335	977
705	2338	973
706	2340	970
707	2344	966
708	2347	963
709	2349	959
710	2352	956
711	2356	953
712	2359	949
713	2363	946
714	2366	943
715	2369	939
716	2372	936
717	2375	933
718	2378	929
719	2381	926
720	2384	922
721	2388	919
722	2391	916
723	2394	912
724	2397	909
725	2400	906
726	2404	902
727	2407	899
728	2410	896
729	2413	892
730	2417	889
731	2420	886
732	2423	882
733	2426	879
734	2430	876
735	2432	872
736	2435	869
737	2439	865
738	2442	862
739	2446	859
740	2449	856
741	2453	853
742	2456	849
743	2460	846
744	2463	843
745	2466	839
746	2470	836
747	2473	833
748	2476	830
749	2480	826
750	2483	823
751	2486	820
752	2489	816
753	2493	813
754	2496	810
755	2499	806
756	2503	803
757	2506	800
758	2509	796
759	2513	793
760	2516	790
761	2519	786
762	2522	783
763	2525	780
764	2528	776
765	2531	773
766	2534	770
767	2538	766
768	2541	763
769	2544	760
770	2547	756
771	2550	753
772	2553	749
773	2556	746
774	2559	743
775	2563	739
776	2566	736
777	2569	733
778	2572	729
779	2576	726
780	2579	723
781	2582	719
782	2585	716
783	2588	713
784	2591	709
785	2594	706
786	2598	703
787	2601	699
788	2605	696
789	2608	693
790	2611	690
791	2614	686
792	2617	683
793	2621	680
794	2625	677
795	2628	673
796	2631	670
797	2634	666
798	2637	663
799	2640	660
800	2650	658
801	2653	655
802	2657	651
803	2660	648
804	2663	645
805	2666	641
806	2669	638
807	2672	634
808	2675	631
809	2678	628
810	2681	624
811	2684	621
812	2687	618
813	2690	614
814	2693	611
815	2696	608
816	2699	604
817	2703	601
818	2707	598
819	2710	594
820	2714	591
821	2749	595
822	2752	592
823	2756	588
824	2759	585
825	2762	581
826	2765	578
827	2769	575
828	2772	571
829	2775	568
830	2778	565
831	2781	561
832	2784	558
833	2787	554
834	2790	551
835	2793	547
836	2796	544
837	2799	541
838	2802	537
839	2804	534
840	2807	530
841	2811	527
842	2814	524
843	2847	526
844	2851	522
845	2854	519
846	2858	516
847	2865	513
848	2871	510
849	2876	507
850	2879	504
851	2883	500
852	2939	506
853	2943	503
854	2946	499
855	2950	496
856	2953	492
857	2956	489
858	2959	485
859	2962	482
860	2965	478
861	2968	475
862	2971	471
863	2974	468
864	2977	464
865	2980	461
866	2984	457
867	2987	454
868	2990	450
869	2993	447
870	2997	443
871	2999	440
872	3002	436
873	3005	433
874	3008	429
875	3011	426
876	3014	422
877	3029	421
878	3033	417
879	3035	413
880	3039	410
881	3042	407
882	3046	403
883	3049	400
884	3052	396
885	3056	393
886	3059	389
887	3062	386
888	3066	382
889	3069	379
890	3073	375
891	3076	372
892	3079	368
893	3083	365
894	3087	362
895	3091	358
896	3094	355
897	3097	351
898	3099	348
899	3103	344
900	3106	341
901	3110	337
902	3113	334
903	3116	330
904	3118	327
905	3121	323
906	3124	320
907	3128	316
908	3131	313
909	3134	310
910	3138	306
911	3141	303
912	3144	299
913	3148	296
914	3151	292
915	3154	289
916	3157	285
917	3160	282
918	3163	278
919	3166	275
920	3169	271
921	3172	268
922	3175	264
923	3179	261
924	3182	258
925	3185	254
926	3188	251
927	3191	247
928	3195	244
929	3198	240
930	3201	237
931	3204	233
932	3207	230
933	3209	226
934	3212	223
935	3215	219
936	3218	216
937	3222	212
938	3224	209
939	3227	206
940	3230	202
941	3233	199
942	3236	195
943	3240	192
944	3242	188
945	3245	185
946	3249	181
947	3252	178
948	3255	174
949	3259	171
950	3262	168
951	3266	164
952	3269	161
953	3272	157
954	3276	154
955	3279	150
956	3282	147
957	3285	144
958	3288	140
959	3292	137
960	3295	133
961	3297	130
962	3300	126
963	3303	123
964	3306	119
965	3310	116
966	3313	113
967	3316	109
968	3319	106
969	3322	102
970	3325	99
971	3328	95
972	3331	92
973	3334	89
974	3338	85
975	3341	82
976	3344	78
977	3347	75
978	3350	71
979	3353	68
980	3356	65
981	3359	61
982	3362	58
983	3366	54
984	3369	51
985	3372	47
986	3375	44
987	3379	41
988	3381	37
989	3385	34
990	3387	30
991	3391	27
992	3394	23
993	3397	20
994	3401	17
995	3404	13
996	3407	10
997	3410	6
998	3413	3
999	3417	0
