iter	Passed	Remaining
0	3	3808
1	7	3698
2	10	3636
3	13	3238
4	16	3273
5	19	3306
6	23	3345
7	26	3330
8	30	3324
9	34	3386
10	37	3387
11	41	3408
12	45	3453
13	49	3458
14	52	3432
15	55	3413
16	56	3283
17	60	3276
18	63	3288
19	67	3283
20	70	3293
21	74	3295
22	78	3316
23	81	3317
24	85	3318
25	87	3277
26	90	3244
27	93	3235
28	95	3203
29	98	3178
30	99	3099
31	101	3080
32	104	3076
33	108	3073
34	111	3068
35	112	3015
36	115	3016
37	118	3003
38	121	2989
39	124	2982
40	127	2980
41	130	2979
42	134	2982
43	136	2976
44	139	2963
45	142	2945
46	145	2960
47	149	2956
48	152	2964
49	154	2940
50	157	2924
51	160	2924
52	164	2933
53	165	2905
54	170	2924
55	173	2928
56	177	2928
57	180	2932
58	184	2936
59	187	2934
60	190	2939
61	195	2955
62	198	2957
63	202	2955
64	204	2944
65	208	2949
66	211	2947
67	214	2941
68	216	2920
69	219	2912
70	222	2917
71	226	2915
72	229	2911
73	232	2908
74	235	2910
75	238	2905
76	241	2891
77	244	2890
78	247	2889
79	250	2884
80	253	2878
81	256	2874
82	259	2869
83	260	2842
84	264	2845
85	265	2826
86	269	2828
87	272	2828
88	276	2831
89	277	2810
90	282	2819
91	285	2820
92	287	2801
93	290	2800
94	293	2798
95	296	2793
96	299	2792
97	303	2795
98	306	2790
99	309	2788
100	313	2790
101	316	2788
102	319	2782
103	320	2763
104	324	2768
105	328	2773
106	332	2774
107	336	2781
108	341	2790
109	345	2796
110	349	2800
111	353	2803
112	357	2809
113	362	2818
114	367	2826
115	371	2828
116	374	2826
117	377	2821
118	379	2806
119	382	2801
120	384	2794
121	388	2792
122	391	2787
123	394	2784
124	397	2783
125	400	2780
126	403	2776
127	407	2773
128	410	2769
129	413	2767
130	416	2766
131	420	2763
132	424	2765
133	430	2784
134	435	2787
135	439	2790
136	442	2787
137	445	2782
138	499	3095
139	503	3095
140	506	3085
141	509	3077
142	512	3069
143	515	3062
144	518	3059
145	522	3053
146	525	3047
147	526	3033
148	530	3027
149	533	3022
150	536	3016
151	539	3008
152	542	3000
153	544	2993
154	547	2986
155	551	2981
156	554	2975
157	557	2971
158	560	2965
159	563	2958
160	566	2951
161	568	2943
162	571	2935
163	574	2929
164	604	3058
165	607	3051
166	609	3042
167	613	3038
168	616	3029
169	618	3020
170	621	3012
171	624	3008
172	627	3000
173	630	2994
174	633	2986
175	637	2982
176	639	2975
177	642	2967
178	645	2960
179	646	2944
180	649	2937
181	652	2932
182	655	2925
183	658	2921
184	661	2915
185	664	2908
186	668	2904
187	671	2898
188	674	2893
189	677	2887
190	680	2883
191	683	2876
192	686	2869
193	689	2863
194	692	2856
195	695	2851
196	698	2846
197	701	2841
198	704	2836
199	705	2823
200	709	2819
201	712	2815
202	715	2809
203	718	2803
204	721	2797
205	724	2791
206	727	2788
207	730	2781
208	733	2777
209	736	2771
210	739	2764
211	742	2758
212	744	2751
213	748	2748
214	751	2744
215	755	2741
216	757	2734
217	761	2730
218	764	2726
219	767	2721
220	770	2717
221	773	2712
222	777	2708
223	780	2702
224	783	2698
225	786	2693
226	789	2687
227	792	2682
228	795	2677
229	798	2672
230	800	2665
231	804	2662
232	807	2657
233	810	2652
234	813	2649
235	816	2643
236	819	2638
237	821	2631
238	825	2626
239	828	2622
240	831	2617
241	834	2613
242	837	2608
243	839	2601
244	842	2597
245	846	2593
246	849	2590
247	852	2586
248	856	2582
249	859	2578
250	862	2574
251	865	2569
252	867	2561
253	870	2556
254	873	2551
255	876	2547
256	879	2542
257	883	2539
258	886	2535
259	889	2531
260	892	2527
261	895	2521
262	898	2516
263	900	2511
264	904	2508
265	907	2503
266	910	2499
267	913	2496
268	917	2492
269	920	2488
270	923	2485
271	926	2480
272	930	2476
273	933	2473
274	936	2469
275	939	2463
276	942	2459
277	945	2455
278	948	2452
279	952	2448
280	955	2444
281	958	2441
282	961	2436
283	965	2433
284	967	2427
285	970	2422
286	973	2418
287	976	2415
288	980	2411
289	983	2407
290	986	2403
291	989	2399
292	993	2396
293	996	2392
294	999	2389
295	1003	2386
296	1006	2382
297	1010	2379
298	1013	2376
299	1016	2372
300	1018	2364
301	1021	2360
302	1024	2356
303	1027	2351
304	1030	2347
305	1033	2344
306	1037	2340
307	1039	2335
308	1042	2331
309	1046	2328
310	1049	2325
311	1052	2321
312	1056	2319
313	1059	2314
314	1061	2309
315	1064	2304
316	1067	2301
317	1071	2297
318	1074	2293
319	1077	2289
320	1080	2286
321	1084	2283
322	1087	2278
323	1091	2276
324	1094	2273
325	1096	2267
326	1099	2263
327	1103	2260
328	1106	2256
329	1109	2252
330	1112	2249
331	1116	2246
332	1119	2242
333	1122	2239
334	1126	2235
335	1129	2231
336	1132	2228
337	1135	2224
338	1138	2219
339	1141	2214
340	1143	2209
341	1146	2205
342	1149	2202
343	1153	2198
344	1156	2195
345	1159	2192
346	1162	2188
347	1166	2185
348	1169	2181
349	1172	2178
350	1176	2175
351	1179	2171
352	1182	2166
353	1186	2165
354	1189	2161
355	1193	2158
356	1196	2155
357	1200	2152
358	1203	2148
359	1206	2144
360	1209	2141
361	1212	2136
362	1215	2132
363	1218	2129
364	1221	2125
365	1224	2121
366	1228	2118
367	1231	2115
368	1234	2111
369	1237	2107
370	1241	2105
371	1244	2101
372	1248	2098
373	1251	2094
374	1255	2091
375	1258	2087
376	1261	2084
377	1264	2080
378	1267	2076
379	1269	2071
380	1272	2066
381	1275	2063
382	1279	2060
383	1281	2055
384	1284	2051
385	1287	2048
386	1291	2045
387	1295	2042
388	1297	2038
389	1301	2035
390	1303	2030
391	1307	2027
392	1310	2024
393	1314	2021
394	1317	2017
395	1320	2014
396	1323	2010
397	1326	2007
398	1330	2004
399	1333	2000
400	1337	1997
401	1340	1994
402	1344	1991
403	1347	1987
404	1350	1983
405	1353	1980
406	1356	1976
407	1359	1972
408	1362	1969
409	1365	1965
410	1369	1962
411	1372	1958
412	1375	1954
413	1378	1951
414	1381	1947
415	1385	1944
416	1388	1941
417	1391	1937
418	1394	1933
419	1398	1930
420	1401	1927
421	1404	1923
422	1407	1919
423	1411	1916
424	1415	1914
425	1418	1911
426	1421	1908
427	1425	1904
428	1428	1901
429	1432	1898
430	1435	1895
431	1438	1891
432	1441	1887
433	1444	1883
434	1448	1880
435	1451	1877
436	1455	1874
437	1458	1871
438	1461	1867
439	1464	1864
440	1468	1860
441	1472	1858
442	1475	1855
443	1479	1852
444	1482	1849
445	1486	1846
446	1491	1844
447	1500	1848
448	1505	1848
449	1509	1844
450	1513	1841
451	1573	1908
452	1578	1906
453	1581	1902
454	1585	1899
455	1588	1895
456	1591	1890
457	1594	1887
458	1598	1883
459	1600	1879
460	1604	1875
461	1607	1871
462	1611	1868
463	1614	1865
464	1617	1861
465	1621	1857
466	1624	1853
467	1628	1850
468	1631	1847
469	1634	1843
470	1638	1839
471	1642	1836
472	1644	1832
473	1648	1828
474	1651	1825
475	1655	1822
476	1658	1818
477	1661	1814
478	1665	1811
479	1668	1807
480	1671	1803
481	1685	1811
482	1688	1807
483	1691	1803
484	1695	1800
485	1697	1795
486	1700	1791
487	1704	1788
488	1707	1784
489	1710	1780
490	1713	1776
491	1715	1771
492	1719	1768
493	1722	1764
494	1725	1760
495	1730	1758
496	1734	1755
497	1737	1751
498	1740	1747
499	1743	1743
500	1746	1739
501	1749	1736
502	1753	1732
503	1755	1727
504	1758	1723
505	1761	1719
506	1765	1716
507	1768	1712
508	1771	1709
509	1775	1705
510	1778	1701
511	1781	1697
512	1784	1694
513	1787	1689
514	1790	1686
515	1793	1682
516	1796	1678
517	1799	1674
518	1802	1670
519	1805	1666
520	1808	1662
521	1812	1659
522	1816	1656
523	1819	1652
524	1822	1648
525	1825	1645
526	1829	1641
527	1832	1637
528	1835	1634
529	1838	1630
530	1842	1627
531	1845	1623
532	1847	1619
533	1850	1615
534	1853	1611
535	1856	1607
536	1859	1603
537	1862	1599
538	1865	1595
539	1869	1592
540	1873	1589
541	1876	1585
542	1879	1581
543	1882	1577
544	1885	1574
545	1888	1570
546	1891	1566
547	1894	1562
548	1896	1558
549	1899	1554
550	1903	1551
551	1907	1548
552	1910	1544
553	1913	1540
554	1916	1536
555	1919	1532
556	1923	1529
557	1925	1525
558	1928	1521
559	1930	1517
560	1933	1513
561	1936	1508
562	1938	1504
563	1940	1500
564	1943	1496
565	1947	1493
566	1951	1490
567	1953	1485
568	1956	1482
569	1960	1478
570	1963	1475
571	1966	1471
572	1969	1467
573	1972	1463
574	1975	1459
575	1978	1456
576	1981	1452
577	1984	1448
578	1987	1444
579	1990	1441
580	1993	1437
581	1995	1433
582	1998	1429
583	2001	1425
584	2004	1421
585	2007	1418
586	2011	1414
587	2015	1412
588	2019	1409
589	2023	1405
590	2026	1402
591	2030	1399
592	2033	1395
593	2036	1392
594	2040	1388
595	2044	1385
596	2047	1382
597	2049	1378
598	2052	1374
599	2055	1370
600	2058	1366
601	2062	1363
602	2065	1359
603	2067	1355
604	2071	1352
605	2074	1348
606	2077	1344
607	2080	1341
608	2083	1337
609	2085	1333
610	2088	1329
611	2092	1326
612	2094	1322
613	2098	1319
614	2101	1315
615	2105	1312
616	2107	1308
617	2111	1305
618	2114	1301
619	2118	1298
620	2121	1294
621	2125	1291
622	2129	1288
623	2133	1285
624	2135	1281
625	2138	1277
626	2141	1273
627	2143	1269
628	2145	1265
629	2148	1261
630	2151	1258
631	2154	1254
632	2157	1251
633	2160	1247
634	2163	1243
635	2166	1239
636	2169	1236
637	2172	1232
638	2175	1229
639	2178	1225
640	2182	1222
641	2186	1219
642	2188	1215
643	2192	1211
644	2195	1208
645	2198	1204
646	2201	1201
647	2205	1197
648	2208	1194
649	2211	1190
650	2214	1187
651	2217	1183
652	2220	1180
653	2224	1176
654	2227	1173
655	2230	1169
656	2233	1166
657	2236	1162
658	2239	1159
659	2243	1155
660	2246	1152
661	2249	1148
662	2253	1145
663	2255	1141
664	2259	1138
665	2263	1134
666	2265	1131
667	2269	1127
668	2273	1124
669	2276	1121
670	2280	1117
671	2283	1114
