iter	RMSE
0	4.984352742
1	4.838101119
2	4.695899318
3	4.558192528
4	4.424671949
5	4.295375928
6	4.170294577
7	4.049534873
8	3.93111663
9	3.816646351
10	3.706388432
11	3.59942607
12	3.495724832
13	3.395117115
14	3.296966423
15	3.201505392
16	3.10900233
17	3.019627844
18	2.933195286
19	2.849007213
20	2.767603128
21	2.688670965
22	2.612182754
23	2.537927033
24	2.465474304
25	2.395150643
26	2.327415978
27	2.26171895
28	2.197987474
29	2.136322081
30	2.077371259
31	2.019381085
32	1.963250252
33	1.908902399
34	1.856095938
35	1.805237498
36	1.756260009
37	1.708769272
38	1.662297062
39	1.617791936
40	1.574789542
41	1.533114968
42	1.492310037
43	1.453405952
44	1.415347079
45	1.378995492
46	1.343549453
47	1.309236008
48	1.276147083
49	1.244268521
50	1.21374197
51	1.184018641
52	1.154923314
53	1.12753142
54	1.100425482
55	1.07474683
56	1.049736143
57	1.025570185
58	1.002314928
59	0.9800659455
60	0.9583057115
61	0.937441111
62	0.9173158439
63	0.8980281493
64	0.8795364678
65	0.8615764713
66	0.8442881636
67	0.8279295383
68	0.8121942119
69	0.7972464533
70	0.7823947817
71	0.7683084074
72	0.7544993264
73	0.74164778
74	0.7290686863
75	0.7173098224
76	0.7059456852
77	0.6951335474
78	0.6845840551
79	0.6744782312
80	0.6648103667
81	0.6557015467
82	0.6469514539
83	0.6391511305
84	0.6309065471
85	0.6234934573
86	0.6161776457
87	0.6089893754
88	0.6020118653
89	0.5960832664
90	0.5898753006
91	0.5840409339
92	0.5787354571
93	0.5733598889
94	0.5682598035
95	0.5636002311
96	0.5589664697
97	0.5544993416
98	0.5503407645
99	0.5460617078
100	0.5421670977
101	0.538415171
102	0.5351508269
103	0.5322743459
104	0.5290458179
105	0.526209424
106	0.5234355688
107	0.5206707706
108	0.5181538229
109	0.5157752059
110	0.513408058
111	0.5112578736
112	0.5092114821
113	0.50698498
114	0.5049951967
115	0.503139994
116	0.5012261037
117	0.4996345176
118	0.4982012214
119	0.4967538138
120	0.4953002899
121	0.4936414097
122	0.4923008748
123	0.4908684566
124	0.4894763561
125	0.4882544555
126	0.4871221695
127	0.4856908246
128	0.4846640536
129	0.4834798667
130	0.4824512794
131	0.4811964552
132	0.4798771967
133	0.4785642892
134	0.4776696966
135	0.4766794406
136	0.4756692657
137	0.4747186812
138	0.4736419774
139	0.4727377393
140	0.472015802
141	0.4711905695
142	0.4705239031
143	0.4697809373
144	0.4690231972
145	0.4684556639
146	0.4678650503
147	0.4674089833
148	0.4668723582
149	0.4662426803
150	0.4656789415
151	0.4649733159
152	0.4645204611
153	0.46409076
154	0.4635683326
155	0.4631606487
156	0.4626285772
157	0.4621412497
158	0.4617562965
159	0.4614128699
160	0.4610183551
161	0.4607291244
162	0.4603722316
163	0.4597734017
164	0.4595037016
165	0.4591578476
166	0.4589332893
167	0.4586428159
168	0.458396749
169	0.4581718605
170	0.4579105892
171	0.4574003288
172	0.4570455187
173	0.4568095056
174	0.4565721867
175	0.4563230761
176	0.456066901
177	0.4556648163
178	0.4553574486
179	0.4553224817
180	0.4550027086
181	0.4545831387
182	0.4542981172
183	0.4538468389
184	0.45363746
185	0.4531943388
186	0.4529415656
187	0.4526921009
188	0.4523679046
189	0.4520013327
190	0.4517771409
191	0.4511677558
192	0.4509824804
193	0.4502813586
194	0.4500735159
195	0.449925323
196	0.449670888
197	0.449366583
198	0.4492679457
199	0.4492304401
200	0.449111699
201	0.4487015246
202	0.4484696675
203	0.4483176681
204	0.4481787099
205	0.448002031
206	0.4477771893
207	0.4475584528
208	0.4474102735
209	0.4472915778
210	0.4470342599
211	0.446491409
212	0.4463775521
213	0.4461538104
214	0.4459718879
215	0.4457784163
216	0.445717484
217	0.44546542
218	0.4451679958
219	0.4448112955
220	0.4445700607
221	0.4444207783
222	0.4442189281
223	0.4440432272
224	0.443764998
225	0.4434999225
226	0.44340508
227	0.4432575164
228	0.442967572
229	0.4426806815
230	0.4425353392
231	0.442350465
232	0.442218452
233	0.4420225646
234	0.4417397946
235	0.4416298244
236	0.4415730087
237	0.4413934157
238	0.4413080169
239	0.4408894313
240	0.4406848808
241	0.4404030085
242	0.4399374229
243	0.4398431173
244	0.4397146766
245	0.4395630528
246	0.4393440992
247	0.4392435238
248	0.4389488562
249	0.4388309305
250	0.4386480398
251	0.4385543015
252	0.4385197951
253	0.4383864706
254	0.4382049058
255	0.4380662049
256	0.4379567407
257	0.4379017741
258	0.4378184731
259	0.4375642536
260	0.4374070579
261	0.4373612753
262	0.437272706
263	0.4372248085
264	0.436789846
265	0.4366670105
266	0.4365694722
267	0.4363837886
268	0.4360976429
269	0.4359926349
270	0.4359124108
271	0.435826274
272	0.4357512798
273	0.4354723909
274	0.4353260957
275	0.4352828289
276	0.4347104718
277	0.4344679436
278	0.4343654234
279	0.434061788
280	0.4339829055
281	0.4337344954
282	0.4336224928
283	0.4334975316
284	0.433436059
285	0.4333345843
286	0.4332971954
287	0.4331417039
288	0.4328750523
289	0.4328112361
290	0.4327390694
291	0.4326363812
292	0.4323039169
293	0.4322640559
294	0.4320932575
295	0.4317451923
296	0.4316628791
297	0.4314564004
298	0.4313560306
299	0.4312643769
300	0.4312614623
301	0.431154463
302	0.4310699224
303	0.431043639
304	0.4308204275
305	0.4307122524
306	0.4305853392
307	0.4305540673
308	0.4304903282
309	0.4301838535
310	0.4300490746
311	0.429983611
312	0.4298797988
313	0.4298297587
314	0.4297697814
315	0.4294132499
316	0.4292411993
