iter	Passed	Remaining
0	3	3783
1	7	3701
2	10	3638
3	13	3241
4	16	3263
5	19	3303
6	23	3341
7	26	3320
8	30	3309
9	33	3321
10	37	3338
11	40	3362
12	44	3377
13	47	3378
14	51	3362
15	54	3350
16	58	3358
17	60	3312
18	63	3282
19	66	3267
20	69	3256
21	73	3245
22	75	3210
23	78	3184
24	80	3136
25	83	3109
26	85	3096
27	89	3090
28	90	3046
29	94	3042
30	97	3045
31	100	3044
32	103	3031
33	104	2976
34	107	2977
35	110	2966
36	113	2958
37	116	2952
38	119	2949
39	122	2938
40	124	2904
41	125	2862
42	128	2854
43	132	2868
44	135	2866
45	137	2849
46	139	2831
47	142	2828
48	146	2835
49	148	2820
50	151	2817
51	154	2820
52	157	2819
53	161	2824
54	164	2831
55	167	2828
56	169	2797
57	172	2801
58	175	2795
59	178	2790
60	180	2786
61	184	2785
62	187	2784
63	190	2788
64	191	2755
65	194	2752
66	197	2746
67	200	2743
68	202	2735
69	205	2728
70	208	2727
71	211	2730
72	214	2726
73	216	2714
74	219	2707
75	222	2709
76	225	2708
77	229	2713
78	232	2709
79	234	2694
80	235	2676
81	239	2678
82	242	2676
83	244	2671
84	248	2671
85	251	2671
86	253	2655
87	256	2658
88	257	2639
89	261	2639
90	264	2639
91	267	2642
92	271	2644
93	274	2645
94	277	2644
95	280	2643
96	281	2623
97	285	2623
98	287	2617
99	291	2619
100	294	2618
101	297	2618
102	300	2615
103	303	2615
104	306	2616
105	310	2616
106	313	2614
107	316	2615
108	319	2613
109	323	2613
110	326	2611
111	328	2607
112	332	2607
113	335	2605
114	338	2603
115	341	2599
116	344	2602
117	347	2600
118	350	2597
119	353	2592
120	356	2590
121	359	2588
122	362	2585
123	365	2585
124	369	2584
125	372	2582
126	375	2582
127	378	2578
128	381	2574
129	384	2573
130	387	2569
131	390	2567
132	393	2563
133	396	2560
134	397	2544
135	399	2541
136	402	2537
137	405	2535
138	409	2533
139	411	2530
140	414	2527
141	417	2521
142	420	2517
143	422	2513
144	425	2510
145	428	2506
146	431	2503
147	434	2501
148	437	2498
149	440	2495
150	442	2490
151	445	2487
152	449	2485
153	452	2483
154	455	2480
155	457	2476
156	460	2474
157	463	2470
158	466	2467
159	469	2465
160	472	2461
161	475	2457
162	475	2443
163	478	2441
164	481	2438
165	484	2432
166	487	2429
167	489	2425
168	493	2425
169	496	2422
170	498	2418
171	501	2415
172	504	2411
173	507	2406
174	510	2406
175	513	2403
176	516	2401
177	519	2399
178	522	2397
179	525	2395
180	529	2394
181	531	2390
182	534	2387
183	537	2384
184	541	2383
185	544	2381
186	546	2377
187	549	2374
188	552	2372
189	555	2370
190	559	2368
191	562	2365
192	565	2363
193	568	2360
194	569	2350
195	572	2347
196	575	2343
197	577	2340
198	580	2338
199	584	2336
200	586	2332
201	589	2328
202	591	2322
203	594	2318
204	597	2315
205	599	2312
206	604	2314
207	608	2315
208	611	2313
209	614	2310
210	617	2309
211	620	2306
212	623	2305
213	627	2303
214	628	2294
215	631	2292
216	634	2290
217	637	2287
218	640	2285
219	643	2281
220	646	2280
221	650	2278
222	653	2275
223	656	2272
224	659	2270
225	662	2267
226	664	2263
227	668	2261
228	671	2259
229	674	2256
230	676	2253
231	680	2251
232	683	2249
233	686	2246
234	689	2243
235	692	2241
236	695	2237
237	698	2236
238	701	2234
239	704	2231
240	707	2228
241	710	2226
242	713	2223
243	716	2220
244	719	2217
245	722	2214
246	725	2211
247	728	2208
248	730	2204
249	733	2201
250	737	2200
251	740	2198
252	743	2195
253	747	2194
254	750	2191
255	752	2187
256	755	2184
257	759	2183
258	762	2180
259	765	2177
260	768	2174
261	771	2172
262	774	2171
263	777	2168
264	780	2166
265	784	2164
266	787	2161
267	790	2159
268	793	2157
269	797	2155
270	798	2148
271	802	2146
272	805	2145
273	808	2142
274	811	2140
275	814	2136
276	817	2134
277	820	2131
278	823	2129
279	827	2126
280	830	2125
281	833	2122
282	836	2120
283	840	2117
284	842	2114
285	846	2113
286	849	2110
287	852	2107
288	855	2105
289	859	2103
290	862	2102
291	866	2100
292	869	2098
293	872	2094
294	875	2092
295	878	2089
296	881	2086
297	884	2083
298	887	2081
299	891	2079
300	893	2075
301	897	2074
302	900	2071
303	904	2070
304	907	2067
305	909	2063
306	913	2061
307	916	2059
308	920	2058
309	923	2056
310	927	2053
311	930	2051
312	938	2059
313	941	2057
314	944	2054
315	947	2051
316	951	2049
317	954	2047
318	957	2044
319	960	2041
320	964	2039
321	967	2036
322	970	2033
323	973	2030
324	975	2026
325	979	2024
326	982	2021
327	985	2019
328	988	2016
329	992	2014
330	995	2011
331	998	2009
332	1001	2006
333	1004	2003
334	1007	2000
335	1011	1998
336	1014	1996
337	1017	1992
338	1020	1989
339	1023	1987
340	1026	1984
341	1029	1980
342	1032	1978
343	1036	1975
344	1039	1973
345	1042	1971
346	1045	1968
347	1048	1964
348	1051	1962
349	1055	1959
350	1058	1957
351	1062	1955
352	1064	1951
353	1068	1949
354	1072	1947
355	1075	1945
356	1078	1942
357	1081	1939
358	1085	1937
359	1087	1933
360	1090	1929
361	1093	1927
362	1097	1925
363	1100	1923
364	1103	1919
365	1106	1916
366	1109	1914
367	1113	1912
368	1117	1910
369	1120	1907
370	1123	1905
371	1127	1903
372	1130	1900
373	1134	1898
374	1137	1896
375	1140	1892
376	1143	1890
377	1147	1887
378	1149	1884
379	1152	1880
380	1155	1877
381	1159	1875
382	1162	1872
383	1165	1870
384	1168	1866
385	1171	1862
386	1173	1859
387	1176	1856
388	1179	1852
389	1182	1849
390	1185	1845
391	1188	1843
392	1191	1839
393	1194	1836
394	1197	1834
395	1200	1831
396	1203	1828
397	1207	1826
398	1210	1823
399	1213	1820
400	1217	1818
401	1220	1816
402	1224	1813
403	1226	1810
404	1229	1806
405	1232	1803
406	1236	1801
407	1239	1798
408	1242	1795
409	1245	1792
410	1249	1790
411	1252	1787
412	1255	1785
413	1259	1782
414	1261	1778
415	1264	1775
416	1267	1772
417	1271	1769
418	1274	1767
419	1277	1764
420	1281	1761
421	1283	1758
422	1287	1755
423	1290	1753
424	1293	1749
425	1296	1746
426	1299	1744
427	1302	1741
428	1306	1738
429	1309	1735
430	1312	1732
431	1315	1729
432	1319	1727
433	1322	1724
434	1325	1721
435	1328	1718
436	1331	1715
437	1335	1713
438	1337	1709
439	1340	1705
440	1343	1702
441	1345	1699
442	1348	1695
443	1352	1693
444	1355	1690
445	1358	1687
446	1361	1684
447	1363	1680
448	1367	1678
449	1370	1674
450	1373	1672
451	1377	1669
452	1380	1666
453	1383	1663
454	1386	1661
455	1389	1657
456	1392	1654
457	1396	1652
458	1399	1649
459	1402	1646
460	1405	1642
461	1408	1640
462	1411	1636
463	1414	1634
464	1417	1630
465	1420	1627
466	1423	1624
467	1426	1621
468	1428	1617
469	1432	1615
470	1436	1612
471	1439	1610
472	1441	1606
473	1444	1603
474	1447	1600
475	1451	1597
476	1454	1594
477	1457	1592
478	1460	1589
479	1463	1585
480	1466	1582
481	1469	1579
482	1472	1575
483	1474	1572
484	1478	1569
485	1481	1566
486	1484	1563
487	1487	1560
488	1490	1557
489	1493	1554
490	1496	1551
491	1500	1548
492	1503	1545
493	1506	1542
494	1509	1539
495	1513	1537
496	1516	1534
497	1519	1531
498	1522	1528
499	1526	1526
500	1530	1524
501	1533	1520
502	1536	1518
503	1539	1515
504	1543	1513
505	1546	1510
506	1550	1507
507	1553	1504
508	1556	1501
509	1560	1499
510	1563	1496
511	1567	1493
512	1570	1490
513	1573	1487
514	1577	1485
515	1580	1482
