iter	RMSE
0	4.98308259
1	4.836950683
2	4.694848359
3	4.557217205
4	4.423794638
5	4.294570153
6	4.169578924
7	4.048877318
8	3.930541498
9	3.81616661
10	3.705979836
11	3.599085509
12	3.495441176
13	3.394909351
14	3.296693749
15	3.201321448
16	3.10887426
17	3.019278588
18	2.932075815
19	2.847849799
20	2.766119473
21	2.686970164
22	2.610233604
23	2.536173297
24	2.464019153
25	2.39425613
26	2.326477218
27	2.26092155
28	2.197564335
29	2.136619606
30	2.077124772
31	2.019247776
32	1.963199428
33	1.909308593
34	1.85711318
35	1.806638263
36	1.757139886
37	1.709835284
38	1.663995262
39	1.61967023
40	1.577175983
41	1.535546688
42	1.495508584
43	1.456598091
44	1.418999662
45	1.38249373
46	1.347362343
47	1.313201132
48	1.280105388
49	1.248778318
50	1.2178903
51	1.188382424
52	1.159693869
53	1.132169151
54	1.105649425
55	1.079880909
56	1.055534143
57	1.031561624
58	1.008532758
59	0.9863229126
60	0.9647128768
61	0.9441604471
62	0.924297254
63	0.9049310493
64	0.8872406472
65	0.8693566871
66	0.8524546917
67	0.8357618516
68	0.820231335
69	0.8051807333
70	0.7906818722
71	0.7763571131
72	0.7626346085
73	0.7497414481
74	0.7376862498
75	0.7254009946
76	0.7141971383
77	0.7031519848
78	0.6925738711
79	0.6827403602
80	0.6735483299
81	0.6640284256
82	0.655263812
83	0.6469767278
84	0.6390428686
85	0.631016094
86	0.6239497025
87	0.6170922881
88	0.6107591676
89	0.6041010141
90	0.5978581172
91	0.5920397489
92	0.5864558121
93	0.581129155
94	0.5756429527
95	0.5706325768
96	0.5665356843
97	0.5619122904
98	0.5576556734
99	0.5533035326
100	0.5493629594
101	0.5455262953
102	0.541818106
103	0.5384891385
104	0.5351987283
105	0.53207418
106	0.5293684653
107	0.5265682543
108	0.523911067
109	0.5214985014
110	0.5190679811
111	0.5170397581
112	0.5146775352
113	0.5125191853
114	0.5105066562
115	0.5085891639
116	0.5067145515
117	0.5049886816
118	0.5034800167
119	0.5019298342
120	0.5004222817
121	0.4989940687
122	0.4977890445
123	0.4965499463
124	0.4948252087
125	0.4933385471
126	0.4921807088
127	0.4910485175
128	0.4898027785
129	0.4886802844
130	0.4874462805
131	0.4864811864
132	0.485358505
133	0.484461774
134	0.4839810191
135	0.4832256887
136	0.4824275749
137	0.4816119254
138	0.480609738
139	0.4798362955
140	0.4785825262
141	0.4777852955
142	0.4769915635
143	0.4763983641
144	0.4755719127
145	0.4748761888
146	0.4742344654
147	0.4734225057
148	0.4726290234
149	0.4719811528
150	0.4714979979
151	0.4704386209
152	0.4696594496
153	0.4689419196
154	0.468489768
155	0.4680465564
156	0.4675634024
157	0.4669260876
158	0.4663607661
159	0.465979175
160	0.465446426
161	0.4650590399
162	0.464964648
163	0.4646067461
164	0.4639859594
165	0.4636609802
166	0.4633068513
167	0.4628834369
168	0.4625611247
169	0.4622833599
170	0.4619998549
171	0.4616109928
172	0.4612410425
173	0.4607675895
174	0.4604425316
175	0.4601178978
176	0.4598366661
177	0.4596124096
178	0.4593692032
179	0.4592117532
180	0.4589383144
181	0.4586729297
182	0.4583012555
183	0.4579819879
184	0.457722534
185	0.4574178226
186	0.4572700342
187	0.4569457246
188	0.4567338216
189	0.4564680346
190	0.456194806
191	0.456107249
192	0.4559089945
193	0.4556637769
194	0.4556234933
195	0.4554675587
196	0.4548649146
197	0.4546749489
198	0.4542954364
199	0.4539956877
200	0.4538370363
201	0.4531937041
202	0.4530870876
203	0.4527559087
204	0.4525928821
205	0.4523521336
206	0.4521928034
207	0.4519676584
208	0.4515980916
209	0.4514574738
210	0.4512667327
211	0.4511014536
212	0.450915994
213	0.4506617679
214	0.4506324725
215	0.4502097739
216	0.449807395
217	0.4496543221
218	0.4493958202
219	0.4492356847
220	0.4491088962
221	0.4489851484
222	0.4487833337
223	0.448624261
224	0.4485285528
225	0.4483794691
226	0.4481455483
227	0.4480403699
228	0.4479279558
229	0.4476192729
230	0.4474603251
231	0.4473747898
232	0.4471504609
233	0.4470987758
234	0.446982633
235	0.4466291725
236	0.4465397056
237	0.4463345993
238	0.446262533
239	0.4461116522
240	0.4454389648
241	0.4453125236
242	0.4450119445
243	0.4449127463
244	0.4448452593
245	0.444763925
246	0.4446072489
247	0.4445069315
248	0.4443736522
249	0.4442226901
250	0.4440240387
251	0.4439470397
252	0.4438259893
253	0.4436201522
254	0.4434558911
255	0.4432954521
256	0.4426226699
257	0.442414593
258	0.4423623151
259	0.4423005943
260	0.441951727
261	0.4418450031
262	0.4415331382
263	0.4413957698
