iter	Passed	Remaining
0	3	3755
1	7	3689
2	10	3641
3	13	3252
4	16	3273
5	19	3290
6	23	3319
7	26	3302
8	29	3290
9	33	3294
10	36	3297
11	40	3324
12	44	3364
13	47	3371
14	50	3348
15	54	3334
16	57	3340
17	60	3294
18	63	3264
19	66	3249
20	69	3238
21	72	3228
22	75	3191
23	77	3163
24	79	3117
25	82	3101
26	85	3090
27	87	3028
28	88	2955
29	90	2939
30	93	2916
31	94	2869
32	97	2868
33	99	2819
34	101	2807
35	104	2809
36	107	2793
37	110	2800
38	113	2801
39	115	2782
40	118	2779
41	122	2790
42	125	2798
43	128	2791
44	131	2785
45	134	2783
46	136	2773
47	139	2768
48	143	2775
49	145	2762
50	148	2760
51	151	2762
52	154	2762
53	158	2768
54	161	2772
55	163	2763
56	166	2757
57	169	2752
58	172	2750
59	175	2752
60	178	2751
61	181	2750
62	185	2753
63	188	2752
64	191	2751
65	194	2745
66	196	2739
67	199	2733
68	201	2718
69	204	2710
70	207	2708
71	210	2714
72	213	2714
73	216	2711
74	220	2714
75	222	2706
76	225	2706
77	229	2711
78	232	2705
79	235	2705
80	238	2705
81	241	2706
82	244	2703
83	247	2698
84	251	2702
85	252	2687
86	256	2689
87	259	2688
88	262	2688
89	266	2689
90	269	2689
91	272	2688
92	275	2686
93	277	2672
94	280	2669
95	283	2672
96	287	2672
97	288	2656
98	291	2655
99	294	2654
100	297	2650
101	301	2650
102	304	2648
103	308	2656
104	311	2659
105	315	2660
106	318	2657
107	321	2655
108	325	2658
109	328	2657
110	331	2652
111	335	2657
112	338	2657
113	342	2659
114	345	2659
115	348	2653
116	350	2647
117	353	2643
118	355	2635
119	359	2636
120	363	2637
121	366	2638
122	369	2634
123	372	2633
124	376	2633
125	380	2636
126	383	2639
127	387	2642
128	390	2635
129	394	2638
130	397	2635
131	400	2632
132	403	2633
133	406	2629
134	410	2627
135	413	2625
136	417	2627
137	419	2622
138	422	2619
139	426	2617
140	429	2615
141	432	2611
142	435	2607
143	437	2601
144	440	2598
145	443	2595
146	446	2589
147	448	2583
148	451	2579
149	454	2578
150	457	2574
151	460	2570
152	463	2565
153	466	2564
154	470	2563
155	473	2560
156	474	2550
157	478	2551
158	481	2548
159	485	2546
