iter	Passed	Remaining
0	3	3597
1	7	3574
2	10	3542
3	12	3176
4	16	3212
5	19	3236
6	23	3292
7	26	3284
8	29	3273
9	33	3287
10	36	3294
11	40	3338
12	44	3375
13	47	3378
14	51	3359
15	54	3348
16	58	3355
17	60	3310
18	63	3282
19	66	3268
20	69	3250
21	72	3216
22	73	3107
23	75	3087
24	78	3065
25	80	3002
26	81	2927
27	84	2922
28	86	2889
29	87	2833
30	90	2836
31	92	2805
32	96	2813
33	96	2751
34	100	2762
35	103	2771
36	106	2776
37	109	2773
38	112	2779
39	115	2779
40	117	2737
41	120	2739
42	121	2701
43	122	2661
44	125	2669
45	127	2646
46	129	2619
47	132	2632
48	135	2620
49	138	2627
50	140	2607
51	143	2619
52	144	2588
53	147	2585
54	150	2585
55	152	2567
56	155	2569
57	157	2564
58	161	2571
59	164	2584
60	168	2592
61	171	2601
62	174	2598
63	178	2605
64	179	2575
65	182	2581
66	185	2580
67	188	2580
68	191	2585
69	194	2586
70	197	2585
71	200	2588
72	204	2593
73	207	2595
74	210	2596
75	214	2602
76	217	2606
77	219	2599
78	226	2643
79	229	2641
80	232	2637
81	233	2612
82	236	2616
83	239	2614
84	243	2616
85	246	2616
86	249	2616
87	252	2618
88	255	2613
89	256	2598
90	259	2595
91	262	2595
92	266	2596
93	269	2595
94	271	2584
95	274	2581
96	277	2579
97	280	2581
98	285	2594
99	289	2601
100	325	2894
101	328	2890
102	329	2868
103	332	2865
104	335	2858
105	338	2858
106	342	2856
107	345	2854
108	348	2850
109	351	2844
110	353	2830
111	357	2830
112	360	2830
113	362	2816
114	365	2813
115	367	2802
116	371	2800
117	373	2792
118	376	2790
119	380	2788
120	383	2787
121	387	2786
122	389	2780
123	392	2771
124	424	2972
125	427	2965
126	430	2961
127	433	2955
128	436	2949
129	439	2942
130	442	2936
131	445	2929
132	446	2912
133	449	2901
134	452	2897
135	455	2895
136	458	2887
137	461	2881
138	464	2875
139	468	2880
140	474	2888
141	476	2881
142	480	2877
143	506	3008
144	509	3001
145	511	2993
146	513	2980
147	516	2972
148	519	2964
149	521	2954
150	523	2944
151	526	2939
152	530	2934
153	533	2930
154	535	2921
155	538	2915
156	541	2908
157	544	2901
158	547	2894
159	550	2889
160	553	2883
161	556	2877
162	559	2873
163	562	2865
164	564	2857
165	568	2853
166	571	2849
167	574	2842
168	577	2839
169	580	2835
