iter	RMSE
0	4.98335198
1	4.837200221
2	4.69506653
3	4.557425685
4	4.423974628
5	4.294738554
6	4.169719751
7	4.049018893
8	3.930659143
9	3.816288303
10	3.70612053
11	3.599235878
12	3.495570684
13	3.395023672
14	3.29679266
15	3.201384951
16	3.108914829
17	3.019305393
18	2.932076217
19	2.847830918
20	2.765807955
21	2.686419338
22	2.61037256
23	2.535848284
24	2.463978589
25	2.393739517
26	2.326141888
27	2.260467609
28	2.196778216
29	2.13582093
30	2.076527711
31	2.018784121
32	1.963190513
33	1.909858656
34	1.857696636
35	1.806616787
36	1.75707124
37	1.709307193
38	1.663309981
39	1.618739477
40	1.576428143
41	1.534937552
42	1.494908166
43	1.456220054
44	1.418670269
45	1.382898062
46	1.3477176
47	1.313859179
48	1.280726453
49	1.248562796
50	1.217563528
51	1.187904583
52	1.159667217
53	1.131809973
54	1.104948342
55	1.079630576
56	1.054610762
57	1.030447294
58	1.007088565
59	0.984506433
60	0.9628705768
61	0.9420137558
62	0.9219786997
63	0.9024027306
64	0.884715666
65	0.8668918065
66	0.8494778917
67	0.8327183845
68	0.8166244382
69	0.8011351557
70	0.7866748944
71	0.772840714
72	0.7594214907
73	0.7462598009
74	0.7341457491
75	0.7217438913
76	0.7099769886
77	0.6990515377
78	0.6884276016
79	0.6784934221
80	0.6690338083
81	0.66052832
82	0.6518463114
83	0.6435627597
84	0.6351479759
85	0.6273791636
86	0.6200503973
87	0.6129085941
88	0.6062056159
89	0.600090293
90	0.5939281297
91	0.5881354372
92	0.5825687166
93	0.5773404219
94	0.5725763052
95	0.5677310888
96	0.5629765727
97	0.5586231437
98	0.5543996116
99	0.5504086073
100	0.5466419844
101	0.5429483551
102	0.5399457643
103	0.5364104349
104	0.5334360388
105	0.530547055
106	0.5275522032
107	0.5247472536
108	0.5219483021
109	0.5196881212
110	0.517669797
111	0.515307696
112	0.5129743273
113	0.5111807692
114	0.5092182012
115	0.507564409
116	0.5057571215
117	0.5043002124
118	0.5025308404
119	0.5008986206
120	0.4993117132
121	0.4977264731
122	0.496206257
123	0.4948469942
124	0.4933976911
125	0.4920084899
126	0.4907379282
127	0.4895796826
128	0.4884158654
129	0.4870716499
130	0.4859090983
131	0.4849121895
132	0.4843077901
133	0.4833426632
134	0.4821736991
135	0.4813392125
136	0.4805001036
137	0.4796990981
138	0.4789511086
139	0.4780337264
140	0.4773300453
141	0.4766865672
142	0.4757970799
143	0.4750097325
144	0.4744737695
145	0.4738967042
146	0.473590328
147	0.4729637766
148	0.4725065431
149	0.4720420147
150	0.4715543802
151	0.4710466138
152	0.4702298503
153	0.4697493579
154	0.4693322319
155	0.4688295436
156	0.4681126954
157	0.467695631
158	0.4672437577
159	0.4667180741
160	0.4662308875
161	0.4658836906
162	0.4655318072
163	0.465178662
164	0.4648694856
165	0.464526743
166	0.4642161633
167	0.4638998815
168	0.4635649305
169	0.4632189579
170	0.4629044133
171	0.4625274102
172	0.46213606
173	0.4618094204
174	0.4615209022
175	0.4612104408
176	0.4608432174
177	0.460610288
178	0.4603671575
179	0.4599573262
180	0.4597163593
181	0.4595056353
182	0.4592530605
183	0.4590558233
184	0.4588434795
185	0.4585688646
186	0.4582106075
187	0.4579475784
188	0.4577947382
189	0.4576285853
190	0.4575348829
191	0.4572792083
192	0.4571376667
193	0.4569343433
194	0.4568562609
195	0.456709128
196	0.4564578853
197	0.4562763534
198	0.4562254348
199	0.4561266695
200	0.4556177738
201	0.455498099
202	0.4553353128
203	0.4551598365
204	0.4550592773
205	0.4548018718
206	0.4546254766
207	0.454399531
208	0.4541646587
209	0.4539343635
210	0.4536723233
211	0.4534770068
212	0.4532435348
213	0.4531788668
214	0.4529699085
215	0.4526218089
216	0.4524848292
217	0.4522812354
218	0.4521907778
219	0.4520695428
220	0.4518742951
221	0.4517590282
222	0.451489215
223	0.4513746044
224	0.4510620484
225	0.4508922802
226	0.4503353369
227	0.4502252472
228	0.4501553134
229	0.449970111
230	0.4498426646
231	0.4497240297
232	0.4496297189
233	0.4495059387
234	0.4492219979
235	0.448905873
236	0.4487791182
237	0.4486867884
238	0.4484915836
239	0.4483027127
240	0.4481919862
241	0.4481232952
242	0.4479528099
243	0.447689516
244	0.4474873683
245	0.4472160686
246	0.4467846493
247	0.4467201914
248	0.4465939989
249	0.4464837633
250	0.4463190762
251	0.4461945485
252	0.4460940172
253	0.4457622853
254	0.4454204939
255	0.4450743789
256	0.4448182894
257	0.4446698627
258	0.4444652498
259	0.4443592862
260	0.4440687475
261	0.4438808382
262	0.4436277001
263	0.4434879467
264	0.4431312047
